"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"RHBDD2",9.7797,30.9191,54.3111,21.1555,40.8679,39.0165,24.8493,19.3083,33.4818,40.6241,30.6904,12.3906,12.3122,10.9849,10.9047,24.4339,49.2195,32.9044,17.3504,23.9264,62.4952,32.4923,12.8607,32.1629,41.6924,26.8735,10.1403
"SOX8",0.7938,1.5903,1.7954,1.1604,1.4411,1.7793,1.2078,0.8037,1.1474,0.7994,0.8344,0.8343,0.5095,0.7526,0.7165,1.3976,0.7844,0.6603,0.537,1.0895,1.7161,1.1941,0.9683,1.8767,1.2408,0.9976,0.8371
"IBTK",21.6074,21.3369,36.5222,17.8098,38.3615,31.7617,47.869,28.4017,46.138,59.1969,56.352,16.8864,31.5498,22.9093,23.4906,25.6537,45.309,49.6941,28.3936,25.5435,38.686,31.7069,25.3678,53.2709,51.7947,26.4182,28.2951
"ZNF195",4.4919,5.8912,10.2913,4.4012,10.8515,6.7273,12.6286,6.157,12.5263,11.5727,12.2306,3.2084,5.7009,5.4642,4.1535,6.5422,8.1751,13.8336,7.2938,5.7012,8.1122,8.3542,4.9815,10.6279,8.1555,5.4738,7.1781
"MYCBP2",17.8896,32.9248,52.6228,24.5619,47.2258,64.9329,83.5401,30.0743,71.3671,84.4192,59.588,16.8592,29.0564,15.8561,20.4966,29.3674,82.8507,53.5069,32.2236,32.5852,64.2739,42.1131,25.9281,56.5691,104.4005,42.0733,23.4495
"FBXL3",7.4421,10.1863,15.8194,8.2088,14.9613,16.5237,45.1916,11.1125,23.9093,32.8128,25.781,4.6335,8.7915,7.2457,7.7002,8.6176,19.8199,21.894,11.2644,8.8437,19.7742,11.7382,10.7178,25.4044,46.4177,8.3328,13.1589
"ITGAL",0.3768,3.1955,4.6624,2.1508,4.3938,14.3993,7.6768,2.0416,10.6189,10.4174,5.4726,0.316,1.124,0.6585,1.1648,4.7407,14.9578,6.9885,1.1244,2.0174,9.1527,4.527,0.9285,4.1308,8.0053,7.8299,1.0587
"PDK2",4.8796,6.0232,5.2936,5.1932,5.4135,4.8191,4.8843,5.9747,4.3867,3.903,4.7361,5.7079,5.5757,5.6327,2.6709,4.5882,4.4729,4.6276,5.8246,4.5848,5.8377,7.698,7.3495,7.0878,7.8008,4.7434,3.3005
"ITGA3",7.5099,18.1024,23.6301,10.6646,35.2302,20.4833,15.4856,42.2678,15.9452,13.7732,19.312,6.2979,6.108,6.9584,4.8562,19.0905,22.7612,23.5069,21.9041,14.9641,30.8599,21.1777,8.6139,18.7322,14.4718,22.5515,6.3433
"ZFX",10.0652,23.0252,22.1091,12.4465,23.9177,22.0371,50.3893,18.3148,28.8493,34.6328,25.8052,7.8535,19.5968,9.6739,10.5346,21.5221,39.8032,24.7057,20.6535,21.1853,23.0984,27.9477,19.9216,40.5317,35.4298,25.4474,14.1986
"LAMP2",14.9248,32.7328,64.7331,29.1689,57.509,47.3888,73.6626,31.1432,76.5767,102.2071,67.7357,12.7737,23.7837,19.341,21.9285,30.8422,54.4187,73.1218,33.7715,36.0729,54.5433,42.4105,29.9169,82.3237,73.1024,34.2808,25.8222
"ITGA2B",0.1088,0.3677,0.2206,0.0985,0.2951,0.6378,0.312,0.1244,0.381,0.4132,0.1953,0.1271,0.1579,0.0543,0.1265,0.1182,0.4398,0.311,0.1017,0.1379,0.4792,0.1486,0.1212,0.2555,0.5282,0.2175,0.1834
"ASB4",0.7337,0.3709,1.1515,0.1522,0.8057,0.8974,1.1425,0.7141,0.5853,0.5298,2.1167,0.145,0.3513,0.5289,0.339,0.3736,2.2215,0.8971,0.4492,0.3411,2.29,0.5794,0.4358,0.9106,0.5306,0.3631,0.4345
"GDE1",11.29,21.7786,33.4468,15.7753,34.8173,25.7921,26.4653,20.8277,26.421,33.7704,32.8355,10.1946,14.7711,13.5638,13.1775,19.1908,23.9111,44.7023,17.2327,22.3541,27.1516,26.5861,15.3607,38.0621,25.5889,25.5927,12.9541
"REX1BD",3.8595,11.6881,15.8992,9.163,16.471,21.0486,11.1708,6.2443,7.8022,7.6271,7.4536,5.119,5.8491,2.7528,3.9191,9.4774,16.9811,7.2185,6.3593,13.4838,21.3993,12.2425,4.801,10.0811,10.9314,15.5988,2.3749
"CRLF1",0.2088,4.086,2.8696,3.4335,2.2891,4.7914,5.9198,0.7333,0.6427,1.3513,1.5878,0.1876,0.3636,0.3649,0.1484,0.9204,1.8811,4.3328,0.4185,0.9884,1.7402,1.2944,0.74,3.5775,10.0119,2.2127,0.264
"OSBPL7",6.2989,6.7834,6.7429,4.4867,13.1043,7.3946,5.1476,5.197,6.4532,5.9943,4.2314,4.9295,5.6265,6.1481,4.3921,5.3906,7.5778,6.6767,5.9823,5.0119,10.1908,7.894,5.1351,7.2029,5.3353,8.2933,4.3034
"TMEM98",12.5521,29.0667,29.7337,17.4054,25.1885,29.2301,36.2598,16.5251,30.3729,38.9488,29.304,11.0857,13.8995,13.4252,11.8242,20.1655,22.1683,28.3879,14.9997,18.5963,34.7824,24.9607,22.6269,37.3956,45.0359,30.5322,16.3406
"YBX2",0.2432,0.1904,0.1959,0.1514,0.3477,0.1217,0.0443,0.153,0.1136,0.1129,0.2261,0.1683,0.1682,0.1252,0.1037,0.1454,0.0773,0.1275,0.143,0.147,0.2071,0.3092,0.3793,0.2403,0.8729,0.1471,0.094
"KRT33A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566,0,0,0,0,0,0
"MAP3K14",3.3089,9.5569,9.7268,6.711,10.7102,11.6235,6.7885,3.1067,8.4685,9.1492,6.1415,5.0577,3.6056,3.6564,3.3974,6.5936,13.8235,8.3896,4.1764,7.2803,8.8751,10.7494,4.9692,8.8651,9.2711,8.4796,3.8152
"ABCC8",2.0089,14.8664,51.3533,4.0612,19.1897,22.9398,9.664,5.4346,11.7319,16.6654,20.4438,4.6564,4.9562,2.4174,3.4634,6.1904,64.4485,6.0233,5.1156,12.6922,111.9463,25.3693,3.7075,13.8384,17.8405,10.6179,5.1779
"CACNG3",0,0.115,0,0.0488,0,0.0327,0,0,0,0,0.1365,0,0,0.0202,0,0.0195,0,0.0684,0,0,0,0.034,0,0,0,0,0
"TMEM132A",0.5962,2.9772,9.853,1.7988,6.3819,6.2161,3.0535,3.0051,6.4271,8.8785,3.6252,0.7806,1.6808,0.6219,0.5724,4.675,6.9154,6.3299,2.5147,4.9962,9.3087,4.716,0.8106,4.6248,2.8173,6.1817,0.5443
"AP2B1",20.9082,46.7501,62.6895,30.1026,65.0643,55.8359,61.3834,26.8696,61.7165,91.783,59.1833,15.1352,25.2956,20.3439,19.2128,40.0959,83.6005,57.4154,39.0024,40.3147,91.0847,53.6029,25.6915,50.2034,73.2247,51.7371,24.0795
"TAC1",0.0329,1.6416,0.9376,1.7196,2.6584,0.439,3.1537,1.7438,0.1536,0.6618,2.3696,0.0975,0.21,0.2484,0.0935,0.2404,2.8839,0.1532,0.1934,0.8259,1.1633,0.4182,0.1099,0.25,1.5375,0.4341,0.1525
"ZNF263",7.2656,12.763,16.6865,8.8088,16.4573,15.4241,19.1377,7.8314,16.0198,16.4702,16.6366,7.3982,7.1228,6.1957,5.3396,8.9859,16.4162,16.3282,8.5962,11.8342,18.4428,14.3545,8.4546,17.4463,16.399,12.6619,6.1973
"CX3CL1",2.9484,6.731,10.2573,3.8968,9.8682,12.0313,6.4329,3.761,11.7826,10.9384,9.4746,2.4937,2.9664,1.7516,2.8078,5.7182,6.0389,12.9308,3.9996,6.7391,7.3017,10.4193,2.3892,12.323,10.3941,8.563,2.1609
"SPATA20",12.6953,24.574,21.1701,22.0734,35.422,30.7672,18.3246,14.0507,25.1333,21.3766,22.5587,15.9056,16.7205,10.3021,9.6691,13.4023,17.4427,16.7998,16.0204,14.5707,38.1583,25.9545,12.7174,22.166,14.3552,19.392,11.2017
"CACNA1G",0.0392,0.1314,0.1942,0.3251,0.3271,0.6286,0.3804,0.0654,0.3856,0.9875,0.1171,0.0719,0.137,0.0615,0.0318,0.0446,0.5476,0.0847,0.0494,0.1613,1.4514,0.1682,0.0686,0.1787,1.1865,0.4309,0.0432
"TNFRSF12A",12.29,43.907,65.0207,36.9739,91.8664,52.9588,45.6884,20.06,41.657,52.7969,64.0884,6.336,11.4804,21.2328,12.6704,47.5467,43.4647,75.932,26.3337,44.2541,35.8765,37.8056,13.932,46.769,33.4575,44.7755,6.982
"DLX6",0,0,0,0.0136,0,0,0,0,0.0191,0,0,0,0,0,0,0.0434,0,0,0,0,0.0428,0.0189,0.0182,0,0.0819,0,0.0126
"MAP3K9",2.2418,3.8128,4.4624,2.6938,5.4608,3.3017,2.7037,3.2518,4.5442,2.5543,5.2775,1.883,3.1983,2.8376,1.4868,3.4311,4.7371,5.539,4.3236,3.7374,6.89,5.1766,3.8997,4.6788,1.1536,3.4903,2.3536
"RALA",9.1902,12.4869,24.8417,8.8655,31.6536,21.2777,29.4262,14.2793,26.3269,42.5674,24.6995,5.4902,9.6787,10.2849,7.9419,15.8044,31.2886,30.568,14.9859,15.4802,28.7908,18.0785,9.0789,24.8263,34.1715,19.1052,12.9352
"BAIAP2L1",15.0821,11.7161,13.6505,10.071,21.9449,10.0674,9.583,12.6893,11.6067,11.8956,14.2375,7.3319,8.4532,10.7391,8.2709,15.6826,13.6696,19.4414,13.2541,11.4378,12.3315,13.097,8.3925,13.3168,6.0447,11.7808,9.2869
"KDM7A",12.7561,12.7216,24.2446,11.8942,27.6994,22.8318,37.3779,12.836,24.3436,32.8159,33.7001,6.5767,12.0271,9.3963,8.0299,15.7172,43.8571,37.1868,14.8717,15.233,27.9686,17.908,15.3645,28.0133,34.5625,16.7421,12.4714
"ETV1",1.2184,3.8628,11.5332,2.7265,6.7432,7.4643,11.5575,5.3889,12.9249,17.1049,17.8026,0.4516,1.8014,1.1984,1.12,6.6144,13.7601,5.7437,4.4505,4.722,14.7213,4.7322,2.1073,5.4307,14.7728,4.7088,2.2626
"AGK",3.1591,5.6357,9.6489,4.5607,9.3601,10.1049,12.3563,5.4351,11.2856,12.5312,10.8392,2.5394,5.244,3.6363,3.2897,5.1794,12.0806,11.466,6.6157,6.0899,11.729,7.4666,5.3598,12.3956,12.4701,6.647,5.5847
"ALDH3B1",2.975,10.745,10.132,4.7604,8.6756,8.4591,6.0648,5.0477,8.177,7.8264,5.0363,2.1674,2.2883,3.2095,1.9697,4.9346,8.1964,7.1073,3.6601,6.7967,9.0057,8.7335,3.6732,7.0279,6.6964,8.2164,2.7514
"TTC22",3.4193,4.1029,3.426,2.9287,6.3361,2.644,2.0354,4.8273,2.3349,2.068,3.5548,2.8966,3.2069,2.6954,2.4305,4.4566,4.9763,4.7118,4.6457,3.6676,5.0211,4.7827,2.9563,4.0342,1.1537,4.5608,2.5347
"PHTF2",3.0356,5.6979,16.1916,4.34,12.0988,14.8705,27.1601,7.3623,19.408,32.2677,16.7101,2.1117,4.2699,3.1931,3.908,7.4033,24.9768,14.5349,8.4148,7.9888,20.5855,9.7874,4.8175,14.8014,26.5835,7.2209,5.9534
"CCL26",0.0801,0.3919,2.9781,0.5982,1.2948,1.7817,4.1803,1.1516,3.4607,1.8597,0.7446,0,0.0853,0.165,0,1.4368,0.9161,0.933,0.3532,0.5959,17.8366,0.5556,0.1785,1.5829,2.4069,1.9383,0.3095
"FARP2",6.5214,10.311,13.0386,7.2187,17.1061,10.6896,11.423,8.0524,13.5844,13.5,10.5404,3.9237,5.2879,6.4707,5.7749,10.4673,12.2086,16.8412,10.9315,10.0899,12.1385,12.352,7.8045,13.9322,11.8462,8.9558,6.6669
"USH1C",5.0303,12.3381,18.0728,9.6719,17.6757,11.4167,5.5048,8.3576,9.8683,6.2026,10.474,2.9285,2.603,6.1814,3.3144,11.8775,22.0469,6.0052,8.5065,9.6318,27.8103,6.9155,5.7561,11.4507,3.7955,7.9315,4.5604
"GGCT",4.77,7.7092,16.8557,6.3909,13.9244,11.4722,17.9646,9.2057,15.6751,21.2695,20.4836,2.9334,7.294,6.0885,5.1236,8.6132,13.8709,16.2121,7.5812,7.8188,13.9746,7.8815,4.8798,13.8551,19.5204,8.4317,6.9879
"DBF4",2.9662,3.13,5.422,2.0543,5.5008,5.7787,8.3291,3.1604,7.5126,10.7356,6.8921,1.7323,3.1694,2.516,1.6641,2.6297,5.7305,8.8927,3.7287,3.681,5.7306,3.839,3.5494,6.8928,5.6464,2.7228,2.4998
"TBXA2R",0.1395,0.9162,0.8146,0.4132,0.8421,1.4178,0.9912,0.3222,0.6513,1.8806,0.6018,0.315,0.3816,0.2872,0.1841,0.4764,1.1896,0.6496,0.3513,0.4816,1.8264,1.2434,0.2885,0.8478,2.7932,1.1831,0.3694
"IFRD1",17.049,6.6668,6.2616,9.0124,9.2063,3.5268,15.2219,8.5933,8.9701,16.2797,14.5323,18.3576,21.6228,24.1085,18.7454,7.054,5.5508,16.6007,14.9471,12.1207,6.5153,10.7995,15.9481,15.8375,12.5387,4.2482,15.4781
"LGALS14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1583,0,0,0,0,0,0,0,0,0,0
"COX10",2.2925,3.9804,5.9912,3.1402,5.5757,4.9036,5.3007,2.9958,6.2775,6.747,5.3849,2.3976,3.5483,2.2778,2.4532,3.411,6.3123,6.4075,3.4671,4.0383,6.9218,5.2414,3.1104,7.1714,5.3152,4.4921,3.1107
"GTF2IRD1",5.5204,5.5199,8.6978,3.6311,9.4377,4.7988,3.6806,3.6437,5.9086,6.4103,6.1818,7.3745,3.3935,7.9009,2.8275,5.5088,6.1436,6.0049,5.7948,7.4855,9.0795,8.183,3.8898,8.5877,5.1493,5.5846,3.796
"PAF1",7.2131,38.6126,30.6083,15.8881,29.5056,32.016,33.0923,13.3867,27.1548,30.5199,24.0379,9.2188,10.6193,7.706,7.7961,16.2635,34.2957,25.9825,13.2141,20.1932,40.0373,21.3781,9.4644,26.7314,40.6034,26.9476,7.3434
"VPS41",13.7316,34.6116,54.5367,22.4667,48.7106,40.6517,57.1287,28.7592,70.6217,71.5731,62.1492,13.4207,19.5595,14.6193,16.149,30.1858,56.7115,54.2008,29.106,34.8771,50.0771,39.827,19.4531,74.2932,57.0794,34.5794,22.1594
"ARHGAP44",1.7521,3.5823,4.9484,2.3009,5.1976,3.2918,3.1525,1.9812,3.9711,3.5435,4.3659,2.1556,1.7423,1.6964,1.8596,2.452,4.9586,4.2075,2.2641,3.011,5.2934,4.3503,2.0726,3.7557,4.2656,3.0297,2.5625
"ELAC2",7.1267,16.2594,23.9998,12.3932,23.4392,19.7035,19.3843,10.7096,21.2228,18.8576,16.7553,8.1167,10.0912,6.8308,6.9697,12.8547,23.2586,19.8866,11.5608,16.4757,24.6814,20.9263,11.0371,22.2498,21.4403,18.2305,6.9597
"SCIN",0.9544,2.3984,3.0433,0.832,3.1437,3.1512,3.4565,2.4025,2.4319,4.453,3.844,0.2681,0.3505,1.1341,0.7231,2.1012,4.5483,3.1198,3.3888,1.0405,4.0731,1.7805,0.5827,2.3046,3.4607,3.3403,1.5756
"ARSD",13.3389,35.1763,23.4311,18.5563,29.2985,13.9673,18.1022,22.2534,22.4698,15.1958,23.3848,12.4702,26.7156,12.839,14.5185,27.4479,21.1831,29.714,23.2664,33.465,15.2433,39.6157,25.7844,46.9549,10.717,28.5791,14.8937
"PNPLA4",4.6233,6.0098,6.2606,3.3427,5.727,5.3611,8.8559,6.3936,5.0698,4.8292,6.2152,3.2801,5.9913,4.0015,4.7769,6.1418,8.2441,5.3456,4.9987,5.9567,5.9682,7.9387,6.3814,9.1097,7.8268,6.8273,5.2172
"MYH13",0.0276,0.2341,0.5816,0.1298,0.2975,0.4912,0.469,0.1571,0.4727,1.1535,0.3101,0.0455,0.0881,0.0379,0.0916,0.4707,0.3157,0.2679,0.1623,0.4022,0.8678,0.4254,0.1845,1.077,0.6605,0.4251,0.128
"ADIPOR2",40.8768,25.3839,30.1121,17.2302,32.265,24.7237,37.3887,13.2942,27.695,39.9982,32.8678,28.8012,17.8734,28.4538,15.8667,17.0786,29.7579,41.1803,21.3773,27.3462,26.931,29.5271,22.4301,35.7758,51.1697,22.7626,17.2669
"CDKL3",0.5545,0.735,1.241,0.4897,1.0228,0.8949,1.1937,0.3856,1.044,1.4115,1.1844,0.2652,0.5519,0.5157,0.4958,0.5108,1.0225,0.8331,0.7622,0.7151,1.1946,1.1783,0.4781,1.1961,1.3433,0.7474,0.9258
"UPP2",0.3619,0.7082,0.7552,0.3635,0.734,0.4659,0.4854,0.462,1.2897,0.8253,0.9736,0.1318,0.0811,0.1438,0.2979,0.6705,0.6292,0.5989,0.4479,0.4959,0.7733,0.9466,0.2546,1.3606,1.0491,0.6703,0.3531
"PRSS21",0.1718,1.0926,1.3837,0.095,0.7475,1.0825,0.278,4.9133,0.7688,0.2659,0.6986,0.4245,3.382,0.5897,0.6716,1.2743,0.6184,0.7336,0.5891,0.6656,0.6375,0.8273,1.0205,0.4787,0.239,2.2671,0.177
"MARK4",3.7316,4.4541,5.0537,3.2014,5.8173,4.7891,4.4768,2.6607,5.0085,6.4162,4.699,3.9975,2.7913,3.0788,2.6585,3.7152,5.7622,5.4986,3.656,5.1611,6.7487,5.8678,2.9687,5.633,6.4402,4.4107,3.0986
"PROM1",9.2598,40.725,49.7408,27.1217,59.3792,17.3088,25.7443,23.5593,39.9438,23.06,52.9463,5.8076,11.2677,9.4732,9.4274,36.2713,25.265,55.3687,25.5734,35.8074,7.7845,41.7343,13.964,66.4074,5.4837,25.3824,15.9058
"CCDC124",6.0696,12.3747,18.1925,8.4963,17.2409,15.9486,11.4796,6.3668,8.9861,13.4853,9.7696,6.9371,6.9276,3.678,4.7,10.0901,14.9914,13.1494,8.0727,13.4936,25.5339,13.7947,5.1361,11.4924,15.5637,18.9052,4.4532
"CEACAM21",0.1994,2.3414,3.3534,0.9691,1.6646,5.1,5.6347,1.0494,4.756,4.2762,1.6879,0.1971,0.3941,0.2543,0.243,1.8923,6.551,3.1517,0.7955,1.6687,3.9921,3.3255,0.6029,1.8618,4.2319,4.01,0.4402
"PAFAH1B1",14.7194,21.1803,38.4281,15.8911,35.0469,33.3661,45.0127,16.6632,40.0935,54.5555,32.7187,10.8653,14.8576,14.6874,14.6171,18.6249,43.428,35.6071,19.6721,23.6829,42.2816,27.3165,16.6354,39.31,53.6681,21.314,17.2703
"NOS2",0.5761,0.0376,0.3807,0.0637,0.3343,0.7545,0.1243,0.092,0.4335,0.2972,0.2231,0.1772,0.1771,0.1143,0.2548,0.2126,49.0093,0.3131,0.1882,0.1905,0.3521,0.222,0.1283,0.2724,0.3205,0.1126,0.1978
"DNAH9",0.2593,1.1092,1.1411,0.5269,1.0498,0.8576,0.589,0.3644,1.2226,0.4476,1.3132,0.3549,0.2901,0.2853,0.345,0.8148,0.4266,0.9873,0.4837,0.8439,0.7532,1.364,0.474,2.0818,0.566,0.8665,0.3082
"KIAA0100",12.1464,37.4135,56.475,23.8205,54.4016,49.5605,49.2139,26.3905,50.4401,61.3169,43.7162,13.078,24.8825,14.0389,13.1438,29.5326,60.7185,48.4175,29.882,33.3643,60.0177,48.0305,24.9026,49.7266,54.1809,46.6063,17.1978
"SLC13A2",1.2046,1.1616,0.4327,0.8257,0.9767,0.33,0.2119,0.1725,0.0815,0.1351,0.142,0.2243,0.2601,3.6197,0.3971,0.1855,1.841,0.1627,0.1026,0.1299,0.0686,0.5448,0.1167,0.0265,0.4662,0.096,0.2023
"GAS7",2.0127,14.94,29.9675,12.0298,20.1753,29.9688,36.7953,8.0298,32.6758,52.7329,17.5788,1.8632,3.0561,2.7558,2.6879,9.5864,31.5223,23.4579,6.983,18.6721,39.8207,21.4415,4.1251,26.1572,47.7333,25.8768,4.0906
"TRAPPC6A",11.4092,19.786,23.1875,16.5282,28.3672,26.3122,11.7934,11.172,19.592,18.6829,23.0732,10.2022,9.6352,10.2362,7.9811,16.3995,23.5445,16.9421,9.581,21.7772,23.4798,20.7909,9.1438,24.4966,22.1661,19.5832,8.441
"MATK",0.5989,1.9842,1.9901,1.0841,2.0305,5.4332,2.2462,0.9171,2.8284,2.5696,1.4073,0.1749,0.391,0.1775,0.3676,1.5459,4.1846,2.33,0.42,0.9618,5.3475,2.0293,0.3335,0.7033,3.0896,3.5623,0.2629
"CEACAM7",7.7912,37.9487,32.5654,10.2337,27.4475,27.6185,4.6111,24.7753,9.3933,11.4653,22.7399,1.154,1.3328,1.3991,2.7011,7.7556,180.8671,9.988,5.6157,29.8644,0.0556,16.3899,1.7733,40.7192,17.0788,10.7157,2.8209
"CD79B",0,2.1112,2.8091,0.7252,2.0034,34.2588,15.6108,0.6626,4.3049,3.6773,1.6501,0.243,0.436,0.2438,0.4271,1.6873,23.4927,1.5904,0.281,0.965,4.7933,3.8513,0.1217,1.2869,7.8413,4.896,0.2321
"SCN4A",0.041,0.3476,0.3217,0.1871,0.2378,0.6002,0.2902,0.0614,0.351,0.1057,0.1667,0.2161,0.1454,0.0938,0.102,0.1588,0.191,0.1194,0.0904,0.1271,0.2416,0.1974,0.1141,0.4258,2.5887,0.1578,0.0633
"ST7L",4.5152,4.8119,7.8067,3.4465,7.4439,7.0674,10.6543,4.8428,7.9799,10.6419,9.0466,3.0757,5.5067,4.3635,3.9056,4.8078,8.578,7.7659,6.0842,5.3542,9.0699,6.3665,5.3692,10.0086,10.6897,5.1715,5.4522
"TKTL1",0.016,0.1563,0.1583,0.0265,0.139,0.1066,0.1163,0.0431,0.0746,0.1483,0.0557,0,0.136,0.0219,0.0568,0.0318,0.487,0.0558,0,0.0446,0.2929,0.0185,0,0.1214,0.6132,0.123,0.0864
"PAX6",0.2047,1.3029,6.0593,0.4506,3.5926,3.6139,1.7815,0.8041,1.1278,1.592,4.2704,0.24,0.816,0.2117,0.4869,1.2743,13.4378,1.0455,0.7098,0.8246,15.7998,1.5643,0.6048,1.0286,2.751,1.6085,0.6978
"RPUSD1",2.0747,6.9653,10.8372,5.3666,11.4294,11.6024,5.6767,3.1065,5.7703,5.5082,5.3168,3.3974,4.1556,2.3459,2.0675,7.1875,9.7679,7.3903,3.7962,7.5079,11.614,8.2043,3.4207,7.1102,5.5337,9.8865,1.9485
"RHBDF1",3.106,9.9692,12.9945,5.8959,13.5361,13.4325,9.7076,4.716,10.1426,10.8014,6.6844,2.6507,3.0124,2.5651,2.9655,8.9985,8.5038,8.7826,7.5796,8.6105,15.4604,10.8754,3.1147,10.6435,17.2935,10.789,2.4881
"LUC7L",14.5455,18.8801,28.3961,17.8869,30.2018,25.7053,32.5337,15.4846,34.1434,43.8038,29.1035,13.9522,20.9991,14.7062,13.7812,18.9292,27.5163,29.2794,21.1615,24.5552,31.7683,25.1795,16.5049,32.7933,30.9289,19.9668,15.7528
"CACNA2D2",0.8827,2.8535,6.702,1.0196,4.8091,4.6575,2.9509,1.1429,1.8388,3.3614,5.5298,1.1376,0.9669,0.909,0.7812,1.8452,16.1293,1.5117,1.2972,2.084,15.3572,3.0406,1.4651,1.8809,3.6256,1.7892,1.3505
"BAIAP3",1.0971,6.6029,11.4008,1.7288,10.4413,10.6307,4.3518,2.5345,3.1429,5.2217,7.8832,2.3053,1.6187,0.595,1.6973,3.7355,29.2119,1.5353,1.531,4.9118,41.9932,6.862,1.15,3.9374,6.4475,3.7918,0.8903
"TSR3",9.3093,21.6323,29.2413,17.3016,26.1553,25.4643,25.0214,12.0854,22.4973,20.7446,21.7388,12.191,13.7693,6.8064,10.4883,20.0963,30.4548,23.5254,15.8015,20.9898,31.3936,23.4014,12.3902,22.0015,29.1336,31.2751,5.8254
"PIGQ",7.0258,7.4704,7.7462,7.1142,8.5561,5.7635,3.7321,6.2927,5.0805,4.9924,5.114,8.1343,9.3757,4.1737,5.8808,7.2239,6.2482,6.7626,6.7956,8.7188,8.666,10.1336,6.7871,7.4748,4.4753,8.3964,4.3422
"CRAMP1",2.2474,3.0066,3.085,2.3267,3.7876,2.9433,2.7668,1.2244,3.4804,4.9986,2.6414,1.7614,2.3147,1.8307,1.6813,2.5633,3.571,3.5862,2.879,2.3332,4.1102,4.3163,2.1382,3.2962,3.8713,2.5362,2.1158
"TEAD3",6.2436,11.0789,16.823,6.529,15.2252,16.8837,13.6955,6.439,17.7915,17.3797,8.949,4.2538,4.7764,4.9457,3.5714,7.5458,9.4811,12.0035,7.6553,13.6712,15.9422,11.6139,5.5549,11.988,30.7079,10.0755,3.7246
"SELE",0.6386,4.3017,3.5,0.7846,28.749,3.2228,2.7868,2.0302,3.097,2.4516,5.6644,0.0121,0.6534,0.607,0.4365,1.8436,31.533,6.9794,1.859,3.1402,7.5111,0.44,0.9028,0.84,18.5918,3.3223,0.4364
"DNAJC11",7.9225,9.6595,12.6723,7.9155,14.3396,12.0619,11.0655,7.8343,12.5995,13.6315,11.7915,8.1805,9.2555,6.4202,7.8131,9.1483,13.148,13.923,10.6658,10.5392,13.7855,13.1135,9.4038,16.1333,13.9259,11.7219,8.2005
"FMO3",1.2774,9.3258,22.1191,3.6824,7.1667,14.4409,19.9126,3.0898,21.3568,29.9052,6.431,0.8902,1.307,1.9563,1.2223,2.4367,7.2823,2.1361,1.8532,6.8066,19.582,5.4513,1.4775,5.6752,32.9111,6.9338,3.3148
"MYLIP",7.9569,25.9025,26.738,15.5766,23.8406,30.0489,33.0813,17.0642,33.8825,32.1444,42.0243,10.9263,20.094,13.5053,10.1649,24.392,25.6448,32.6665,14.2799,19.1601,30.181,30.5974,17.6833,32.964,55.8458,26.2301,17.8745
"NOX1",0,0.0217,0.1921,0.1103,0.1652,0.2216,0.43,3.1438,0.362,0.4455,0.3602,0.0657,0.0707,0.1368,0.0472,1.6329,1.9978,0.3095,0.2604,0.0824,0.4351,0.0768,0.0987,0.4376,0.7024,0.0731,0.154
"E2F2",0.2269,0.3632,0.5238,0.1369,0.705,1.5593,0.5005,0.4169,0.5417,1.3244,0.3354,0.051,0.2963,0.0779,0.0953,0.5616,1.0611,1.2248,0.5455,0.278,0.7292,0.5482,0.1148,0.4858,0.4131,0.567,0.1195
"PSMB1",36.1432,65.9578,105.4822,45.9717,93.3041,97.3392,115.4036,50.8504,98.5851,113.5502,115.1779,29.4001,44.8604,37.9686,27.0081,63.8112,118.6008,115.7788,44.6859,60.39,111.7199,69.2298,43.2515,105.4288,140.5619,87.0566,42.9615
"SYN1",0.0603,0.3248,0.4861,0.1001,0.3939,0.3187,0.3112,0.1355,0.2994,0.4203,0.2454,0.1342,0.1927,0.0829,0.0643,0.1804,1.0734,0.4041,0.0887,0.3367,1.4226,0.4185,0.168,0.3898,0.4533,0.1991,0.2098
"JARID2",4.2124,9.9815,17.4691,7.8731,17.8856,16.2381,16.0459,8.8736,16.7963,27.3025,13.0048,4.4396,6.21,4.9478,4.8664,7.8547,22.1285,15.746,7.8475,10.8104,19.2432,13.4586,5.7063,14.6141,17.5694,10.7327,5.6095
"CDKL5",2.7812,4.7946,6.1012,4.0143,7.2861,4.2723,5.7885,4.3282,8.3468,9.8197,7.331,2.4537,3.7457,3.2911,3.5988,4.6802,6.1205,6.5947,5.8898,5.2762,7.3736,6.439,3.6243,9.1324,6.5807,4.6446,4.3451
"CAMK1G",0.1185,1.2419,2.1179,0.1825,1.094,0.9221,0.8625,0.3953,1.1459,2.7498,0.6488,0.2174,0.1261,0.5577,0.2286,0.5171,1.8705,0.611,0.7212,0.771,4.8538,1.0366,0.3393,1.1832,1.0169,1.0422,0.5622
