"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"UGT2B10",0,0.02,0,0.0169,0,0,0,0,0,0.0632,0,0,0,0.014,0.0581,0.0136,0.0519,0,0,0,0,0,0,0,0,0,0.0158
"CWH43",0.326,0.0886,0.0673,0,0.1351,0.0805,0.0659,0,0.0211,0.1401,0,0,0,0.1368,0.0257,0.012,0.023,0,0,0,0.925,0.0209,0.0202,0.0275,0.0605,0.1195,0
"DCUN1D4",8.8489,9.9804,18.7257,8.7699,16.2716,14.2499,31.1643,10.5712,20.696,27.6842,21.3332,4.6284,8.6379,9.3152,7.8178,8.0413,20.7483,20.0165,12.3205,10.9197,21.4846,11.0552,9.0576,20.7238,32.2513,8.7726,11.7379
"USP46",3.8497,5.78,9.9247,4.4602,8.5643,7.9347,12.9079,5.5122,11.5613,16.2848,11.6668,3.0852,5.4103,5.1598,4.0012,5.5978,7.8754,12.5353,6.5136,6.782,9.9507,7.8376,6.1706,14.7913,12.2697,6.1553,4.8035
"SULT1E1",0.7027,0.476,0.7367,0.2018,2.2174,0.6311,3.0826,0.3399,0.1893,1.2128,0.2826,0,0.0288,1.0204,0.4034,0.1257,2.5408,0.1574,10.2469,0.3267,0.0354,1.3119,0.3913,0.2054,0.5864,0.4161,2.4428
"ODAM",0.3966,4.3393,2.8594,1.7651,2.6895,1.6839,3.7628,0.7775,0.9261,6.4725,1.5081,0.1782,0.3069,0.2723,0.3845,0.479,2.5653,3.1493,2.3845,1.6763,1.5583,1.3752,0.3614,4.0005,1.324,1.4275,0.8078
"SMR3A",0,0,0.2096,0,0,0.094,0,0,0,0.1309,0,0,0,0,0,0,0.3223,0,0.3728,0,0,0,0,0,0,0,0
"CHIC2",8.6332,28.9159,39.3364,16.8273,38.8418,41.6996,72.9434,17.8104,44.5819,71.1809,35.184,6.1849,11.1307,9,9.1887,20.5406,48.8633,38.5131,19.7358,24.4206,45.8232,28.3498,10.9381,41.0994,76.3167,26.7736,12.1039
"NMU",0.3466,0.7913,0.1432,0,0.7899,0.1927,2.243,7.8364,0.1349,0.1788,0,0,0,0.3569,0.0411,1.7266,0.9541,0.1345,1.2734,0.0537,3.026,0,0.1287,0,0.0964,0.6988,1.3834
"CRACD",3.8076,8.4476,9.167,4.1638,9.0312,7.7063,4.6305,2.8507,5.1179,14.4075,3.0849,1.3782,0.311,3.9783,1.8578,4.2097,8.2534,3.2479,4.0127,4.8834,9.0327,3.7155,1.3299,2.7032,7.2751,5.4911,1.5353
"LAMTOR3",7.9261,13.7632,26.4131,10.9642,22.3303,20.7098,38.209,15.8822,29.1815,29.8264,28.175,5.2804,10.4491,8.7378,9.4797,11.5357,29.1268,26.368,14.3714,13.8587,26.7476,18.3525,13.3171,29.1092,35.2404,15.0973,13.2601
"PF4V1",0.0758,0.1483,0.5636,0.2516,1.0366,0.7586,0.7359,0.0681,0.531,0.1173,0.2642,0.0749,0.1613,0.052,0,0.0504,0.0963,0.7945,0.1114,0.2114,0,0,0,0.3456,0.1265,0.0834,0
"NFKB1",12.6477,21.0231,35.5464,16.8871,44.4725,34.6563,38.3038,17.0522,37.8967,55.8379,35.438,7.7995,13.807,11.4434,11.8044,19.9316,50.8833,53.573,19.1858,25.1909,37.5816,31.4157,16.0891,33.5322,44.4522,29.0833,12.7678
"AREG",5.0422,37.7215,19.253,3.8135,25.6276,17.9257,91.9423,4.5916,15.337,57.7501,9.4443,1.0848,0.2555,7.0408,4.7544,4.3744,54.0358,22.8084,5.0408,14.9891,39.62,10.8225,1.5281,17.8291,27.1365,11.9949,3.1268
"MANBA",3.5875,10.2159,14.7917,6.8008,15.4667,15.3431,19.9505,8.7643,21.0647,29.4354,16.8053,3.2044,5.6241,3.9117,4.7047,8.6939,15.4222,19.6606,9.1982,10.8184,14.2143,13.1263,5.9882,18.5591,17.4032,12.1309,6.5138
"UBE2D3",25.2,38.1854,71.0722,29.6412,67.4521,58.0927,101.6977,45.4711,83.0292,105.4913,85.4129,17.8676,35.1984,27.8558,24.7921,36.4566,86.6783,84.677,46.5764,44.014,76.4695,49.6562,36.2109,83.1717,111.5999,36.968,33.4993
"MAPK10",1.0584,3.4364,7.0764,2.1642,3.8587,4.8252,6.8498,1.9908,5.7881,10.7455,4.5962,1.0892,1.3906,1.1829,1.4023,2.153,9.1761,3.0484,2.0293,2.9474,10.1495,3.5981,1.5733,5.9406,9.2675,2.851,2.1049
"ELF2",10.8827,18.0896,26.4472,11.939,24.7597,23.865,38.9858,13.4538,26.9464,39.8413,29.1848,8.0896,12.4483,9.6212,9.1059,13.9851,31.2881,31.9135,16.0028,16.3339,28.444,20.7904,13.4325,31.0602,40.3692,17.879,12.7482
"NDUFC1",6.3206,12.2211,19.1366,10.5665,16.2532,16.629,21.7081,9.329,17.0861,18.2812,18.1612,6.0982,9.5281,7.7744,6.445,9.7211,20.3142,18.5551,8.5424,11.1239,19.4623,13.0883,9.3863,20.2422,24.6785,12.9292,8.5742
"UCP1",0,0.034,0.2153,0.0577,0.0432,0.0773,0.1265,0.0936,0.1623,0.2688,0.0404,0.0343,0.0739,0,0.0988,0.0462,0.0441,0.4046,0.1021,0.1615,0.091,0.2409,0,0.1056,0.174,0.2675,0.1611
"TBC1D9",6.4109,22.4905,42.7237,16.2049,37.7431,46.8381,54.9336,14.7362,45.9631,57.9451,36.8485,6.6025,11.4515,6.6943,7.6976,19.111,52.4884,36.634,17.3291,23.3952,46.3409,31.4843,13.0046,39.6914,57.5498,30.4334,10.6192
"ZNF330",15.5017,24.0544,39.9293,18.703,39.8404,37.8322,52.5237,20.3316,47.3442,57.2219,50.1065,12.1601,19.6146,13.2036,11.2083,21.5521,42.5486,45.9332,19.1258,27.8558,40.8645,27.9266,19.912,46.412,52.4142,32.3113,17.1228
"INPP4B",3.1199,13.3705,19.5559,7.3431,17.4537,17.7925,33.2467,13.0566,20.1631,20.174,21.535,2.3244,3.0827,4.4914,3.5669,10.2241,27.9279,15.9281,12.866,11.3147,23.0561,11.213,7.1092,14.5279,33.1503,10.5116,6.0533
"GAB1",7.0965,13.3748,19.9519,7.8599,14.2194,20.1325,36.4779,8.8058,34.4783,46.6399,18.8299,4.5548,7.9896,6.3086,6.7851,9.9487,23.0381,17.248,10.6744,11.4213,20.7962,15.1879,9.6954,22.2736,51.8841,12.315,12.6804
"KLHL2",5.2179,15.6382,30.0355,10.1452,26.4815,21.1515,34.528,13.78,28.1655,35.0487,28.2281,2.9044,6.5895,5.1961,5.3698,12.0828,26.753,33.2036,11.0598,17.4865,27.4651,17.4455,6.7375,33.2686,27.0601,16.2683,6.6334
"IL2",0.0503,0.7387,0.686,0.0418,0.876,0.6716,2.5041,0.0904,1.0577,2.6482,0.8771,0,0,0.0691,0,0.0669,0.7034,0.3517,0,0.4212,1.5161,0.2327,0,0.612,0.8401,0.3874,0.0778
