"","C3N-00333","C3N-00383","C3L-01304","C3L-01311","C3L-01307","C3N-00858","C3L-00586","C3L-00601","C3L-00006","C3L-01282","C3N-01346","C3L-00932","C3N-00866","C3L-00361"
"PIGQ",6.1585,6.9809,8.3253,8.907,6.2363,6.7917,8.2115,8.0143,7.7202,7.5717,9.7033,8.8346,5.6817,8.9792
"CRAMP1",5.5911,6.0732,4.465,4.8479,4.7012,4.2877,4.7597,5.0231,6.0206,4.1613,5.8629,5.7883,4.1785,5.2201
"TEAD3",69.9723,42.8227,42.8716,42.0544,45.4889,37.0421,53.9621,47.4131,52.4008,44.088,76.1436,44.1796,69.7872,72.7621
"SELE",60.2543,1.8168,0.3196,3.6148,12.3149,9.5678,2.8064,56.9894,11.3943,12.0353,12.8498,3.8794,105.0253,7.2806
"DNAJC11",16.9399,17.2214,19.3727,19.0636,14.3498,14.3986,15.7546,16.2222,19.4017,17.2591,16.6907,20.0006,13.9676,19.3264
"FMO3",3.1607,7.1149,1.4916,2.2904,3.2496,1.2504,1.0165,2.0188,6.3402,1.6002,1.1715,2.1887,0.8551,2.4412
"MYLIP",138.203,126.1674,119.9587,200.5881,157.3044,109.6087,118.4433,167.6134,85.9058,181.8812,89.6905,180.0409,76.41,98.7923
"NOX1",0.9219,0.6221,0.2521,0.6123,0.2747,0.3451,0.4686,0.3366,0.6406,0.541,0.3417,0.6919,0.1652,0.6451
"E2F2",0.1171,0.6372,0.1845,1.4421,0.0913,0.2089,0.4218,0.4701,0.2982,0.6964,0.3905,1.1096,0.0577,0.5654
"PSMB1",132.6434,118.8687,145.5965,144.2961,159.9013,125.4046,121.6914,133.681,142.4771,145.7757,137.3754,143.3914,162.0106,160.9045
"SYN1",0.1998,0.3673,0.2699,0.2453,0.1069,0.3291,0.2341,0.3567,0.3021,0.1734,0.3386,0.3666,0.2251,0.2844
"JARID2",16.9646,18.5798,20.6852,30.7006,16.1561,14.2652,21.8334,19.8012,18.363,20.9972,20.6087,25.4715,75.5563,20.9102
"CDKL5",9.3838,6.3702,7.0759,7.7045,6.9484,8.805,6.2785,7.9405,11.1001,6.1538,6.96,7.2689,7.9309,8.2138
"CAMK1G",0.9606,1.6796,1.5689,1.1559,1.5291,1.9777,1.3129,0.4858,2.1839,0.8998,0.7358,0.9399,0.6627,2.3777
"CDK11A",1.5718,0.9748,0.054,0.9546,1.0989,1.0009,1.0624,1.1035,1.1089,0.939,1.103,1.2495,1.0947,1.0627
"NADK",19.0748,20.563,24.3394,21.6227,18.1648,18.3231,24.8461,17.4846,19.6626,19.0338,21.1737,22.9728,18.007,21.4828
"TFAP2B",0.0173,0.0171,0.0149,0,0,0.2566,0,0.0155,0.0611,0.0526,0,0.9053,0.0512,0.0157
"TFAP2D",0,0,0,0,0,0,0,0,0.0569,0,0,0,0.143,0
"DLEC1",1.9171,4.5789,2.7245,2.1639,0.8377,2.3996,1.0386,1.3802,2.0289,1.6792,1.26,3.3296,1.31,1.7823
"CYTH3",31.7056,31.5416,24.0833,24.3952,28.1235,20.3826,30.0517,24.5627,33.3556,19.6193,29.677,28.1241,27.052,39.045
"ADAM22",12.4221,12.5013,12.7877,9.55,8.842,27.3359,8.0689,13.8696,27.5396,8.8101,12.6011,11.0502,8.7643,14.2862
"SYPL1",143.8624,173.6033,143.1459,111.9925,123.9105,119.3513,103.2527,132.801,141.2044,110.5333,90.404,114.7534,96.9493,152.4292
"CYB561",10.5842,19.8744,32.0848,28.5522,6.4436,18.194,17.6411,10.9186,9.8431,20.2019,12.037,33.1319,5.7907,16.399
"SPAG9",107.8219,80.3376,76.0845,85.0135,97.9881,93.7399,85.6592,87.7549,116.9845,69.4051,58.4298,79.1761,139.5275,89.4428
"CELSR3",0.8848,0.6396,0.9656,0.7605,0.8789,0.3422,0.6424,0.879,0.8143,0.5785,0.827,1.0728,0.6673,1.0312
"AASS",118.8155,72.4839,59.4915,69.2135,86.7992,69.3458,66.6651,122.951,120.9661,72.3559,47.4151,48.0697,125.34,56.7353
"PLEKHG6",4.0275,2.2529,2.4298,2.4725,0.9135,2.1012,1.6971,2.3888,4.5594,2.3557,2.8,2.6389,3.279,1.8348
"SS18L2",9.4331,8.2871,8.2553,8.6654,7.8084,14.2976,7.5674,9.9743,9.5248,10.7976,7.3217,7.8691,9.7682,7.7992
"MPND",6.9172,5.8163,6.8399,6.7943,6.8176,5.7818,5.7383,5.9413,7.7669,6.1616,5.3588,6.3451,6.5609,7.2056
"MGST1",13.1758,2.6363,4.7641,5.3666,2.2394,9.8358,11.7977,2.2623,6.231,4.3831,4.0128,2.9427,2.9781,1.9064
"CRY1",37.55,21.5475,20.9369,22.8875,30.506,21.6728,26.7308,24.9203,20.8326,20.9856,24.0846,30.1722,59.321,22.3187
"PGLYRP1",3.4619,0.8938,2.3289,2.4579,1.5503,2.9748,0.8977,2.5523,3.3628,1.8289,2.4546,1.5188,2.2251,2.726
"NFIX",35.2074,50.2662,20.0427,14.9303,22.5302,36.6159,23.4693,23.6622,41.0494,16.9909,49.2006,18.5328,24.8242,34.5358
"ST3GAL1",29.7836,17.8477,15.6671,18.7895,18.475,25.9143,37.5685,21.6279,24.391,22.9661,25.5756,19.1376,31.1089,17.1588
"MMP25",0.5773,0.6955,0.4746,1.0138,0.47,0.6407,0.5426,0.3808,0.7378,0.7052,0.893,0.6907,0.3463,0.2955
"IL32",5.6455,5.1928,5.5092,11.6162,4.4465,6.3171,10.1998,6.7277,7.6928,13.7447,5.4402,12.2153,3.2728,10.9159
"PKD1",27.1561,21.8226,19.5322,15.9417,19.3328,23.589,21.0078,26.8479,38.7139,14.414,35.9635,17.6002,26.9221,25.4343
"MAPK8IP2",1.7108,0.7282,1.0911,1.3122,1.7052,1.0452,1.4537,1.494,1.1248,0.8382,1.5954,1.3162,1.2509,1.3826
"MED24",14.4497,20.3145,35.4459,24.9691,14.2032,15.4032,16.9913,17.7864,18.3231,19.7733,19.0619,20.5278,15.6135,19.4052
"RHOBTB2",8.3338,6.8598,6.9003,8.3124,7.3353,6.0397,8.6162,10.7177,7.525,6.586,9.6068,7.1566,9.4207,8.291
"HEATR5B",42.3781,41.4284,43.3434,37.5781,35.9977,37.6567,33.0779,40.2917,49.2995,39.8853,31.4517,39.7633,23.8149,40.8113
"SEC62",94.2535,98.2155,87.7193,80.1629,95.4766,89.0063,71.0375,87.0093,107.1962,83.3899,54.9109,78.9865,82.094,102.0618
"RPS20",378.3139,317.8468,318.6352,308.9771,449.0069,380.1443,247.248,353.4207,357.1285,324.736,315.1917,272.0319,352.9407,290.2964
"CSDE1",607.8588,559.563,531.3618,469.8145,638.6983,514.6867,456.5951,540.3873,577.3623,473.7852,436.0228,506.9682,488.282,621.4494
"UBE3C",52.4678,44.7843,47.1378,47.0316,43.713,42.3017,42.9511,46.1549,48.2746,46.4237,44.4301,49.7622,56.3478,49.6057
"REV3L",184.7776,163.7625,145.7146,177.2797,159.3685,215.8963,185.1114,171.797,131.119,124.4723,141.7624,163.5404,69.5914,182.6689
"TENM1",7.1645,4.3426,5.5688,3.3309,8.0855,3.3888,4.8298,5.3763,7.2003,3.7026,5.1454,4.1008,3.4286,6.6897
"PAX7",0,0,0,0,0,0.0136,0,0,0,0.0125,0,0,0,0
"MASP2",7.8604,8.6463,10.7374,4.0878,5.4379,6.6997,3.3405,7.7077,10.8914,4.4676,7.107,5.0289,2.9852,7.0499
"IYD",0.0411,0.2239,0.1326,0.0972,0.0481,0.0423,0.1303,0.0551,0.0363,0.0781,0.0152,0.1509,0.0304,0.0279
"FAM76A",30.2104,20.8272,18.1573,20.1467,23.6012,23.3162,16.4938,19.8629,21.3702,17.8222,14.7405,20.5363,18.0407,24.9953
"TRAF3IP3",1.8563,2.4359,2.1039,1.7136,1.6094,2.5138,2.6242,1.9758,2.1666,2.4122,2.1812,2.5479,0.7047,1.793
"POMT2",9.8931,6.9875,7.1948,7.9443,5.4642,6.314,8.9948,7.5842,7.889,6.3971,9.1647,8.3325,6.591,8.052
"VTA1",19.2195,18.3671,19.0826,17.8811,16.9097,18.9101,14.3172,18.4631,22.3583,20.4945,13.9964,18.2091,15.107,20.8076
"MLXIPL",0.6861,1.0733,0.4946,0.3804,0.3523,0.2005,0.429,0.8493,0.2863,0.958,0.5742,0.4263,0.4144,0.2806
"BAZ1B",108.0303,83.2671,76.9531,72.7518,78.1146,84.6481,62.802,81.8916,94.6746,76.1382,77.539,78.1469,94.5079,86.8629
"RANBP9",65.1532,54.5693,43.1677,46.8321,59.9568,49.0927,52.3265,58.9357,59.8495,48.6518,35.1737,45.9855,51.1193,47.076
"ETV7",1.4364,1.7326,1.0032,0.5787,0.8826,0.8872,2.0748,3.2049,3.906,5.8635,1.1979,0.9882,6.9899,3.699
"SPRTN",12.2878,8.9465,9.6627,8.002,10.1707,10.0148,7.7346,9.7426,9.8661,12.689,9.0282,11.2384,13.7105,10.2937
"EEF1AKNMT",25.5915,29.9246,33.6422,30.649,19.6124,22.2424,21.8987,25.7938,30.2562,47.9959,26.5374,35.978,15.2973,29.2697
"DYRK4",10.9678,9.1651,10.2847,8.1149,9.2086,9.94,7.8949,9.1817,10.2145,9.4307,8.634,7.7326,7.8613,10.6568
"ZNF207",64.9786,65.301,68.7735,71.3461,59.8635,60.8097,51.8265,69.9983,71.4721,63.9999,37.2595,72.329,73.0489,66.9967
"UQCRC1",65.3233,63.2004,88.7997,90.7594,62.8147,65.3236,77.0893,63.078,64.3758,78.2523,79.5359,90.7357,62.2481,81.6207
"STARD3NL",38.6684,32.6348,35.9076,52.5511,35.2602,37.2007,33.6961,40.0311,35.7035,44.6199,31.3672,43.5864,39.9795,43.4737
"CD9",110.5151,75.5394,70.8266,69.4966,97.025,114.5835,81.4348,91.4847,104.5001,82.693,77.8823,74.8114,113.1693,84.4637
"HHATL",0.4428,3.7614,0.9198,0.444,1.5893,0.9724,1.4304,1.0538,0.3471,0.8127,0.5197,1.5232,0.691,0.5012
"NCAPD2",16.8167,22.3809,23.6578,24.3198,17.7354,15.2589,17.5466,17.8013,19.9682,21.2269,19.9742,25.6242,10.3889,24.0279
"IFFO1",20.2788,17.4034,16.3568,12.576,14.8309,15.8652,14.9732,14.9248,22.6546,11.9635,20.639,9.884,11.1503,19.8658
"GIPR",0.3153,0.3537,0.4337,0.7408,0.2165,0.5367,0.5956,0.2814,0.4697,0.5109,0.2182,0.9257,0.1658,0.3807
"PHF7",4.1499,6.8659,5.3643,5.2274,5.5763,3.8869,4.369,5.5413,7.0403,4.4025,3.4284,4.7075,3.2781,5.4216
"SEMA3G",17.842,11.4305,9.6375,14.9169,17.9515,5.3902,6.8788,8.6118,9.2859,7.1036,7.7475,7.1082,9.5307,12.8678
"NISCH",62.1616,55.9915,61.2867,60.9242,49.1087,63.0616,59.2812,67.1268,65.1855,50.4315,59.9381,56.4598,53.66,59.5905
"STAB1",39.2729,30.5699,26.0149,19.6879,34.8969,26.0913,39.7675,20.7047,39.115,21.1115,44.7714,19.1942,32.8526,33.6672
"FUZ",10.8262,13.6073,11.3222,9.1805,10.4072,8.2912,8.6897,12.4963,13.8337,9.181,7.7576,9.8978,8.2512,10.6205
"SLC6A13",0.1256,0.2983,0.0864,0.1295,0.0705,0.1448,0.337,0.1121,0.5611,0.3433,0.4096,0.0691,0.0743,0.091
"IDS",8.8862,7.2512,5.7362,5.3215,6.8818,5.9202,6.4965,8.4321,8.9257,4.5977,11.4997,5.911,7.978,5.5756
"PRSS3",0,0.296,0.7071,0.3856,0.07,0.0616,0.3345,0.267,0.1759,0.1704,0.8315,0.8918,0.2948,0.3386
"ZNF200",7.3906,6.4,5.6564,4.8127,5.19,4.6698,4.2912,6.2534,6.7351,5.6774,5.4678,5.8276,6.4012,6.2419
"CD4",10.4298,9.4426,9.1461,11.0742,9.5467,8.8584,15.8297,6.8247,9.5694,14.5095,11.4408,11.841,8.9192,14.6962
"LRRC23",13.0938,15.8268,13.5061,14.6145,10.1023,12.7378,10.7506,17.3885,11.1268,11.6409,9.4212,20.3385,7.433,12.3628
"BTK",4.4956,5.6248,2.5829,3.3432,5.5834,5.0831,4.2718,5.0932,3.4785,5.0415,5.3871,2.4144,2.4793,4.9779
"HFE",9.5205,12.5815,9.6363,7.9242,9.1429,9.2317,5.3057,9.8375,11.6146,7.5867,6.3334,8.337,6.3848,9.4034
"SCMH1",87.7787,58.7449,64.5557,49.1616,68.929,55.3924,47.4669,83.0875,74.8985,58.7637,63.9835,52.3605,91.7997,57.8518
"FYN",52.1399,32.7881,33.9411,42.6119,59.2008,42.6167,65.6913,51.2943,43.8272,38.9306,42.9023,33.5692,80.2959,39.0632
"HIVEP2",26.9141,28.794,35.6863,33.8933,34.2186,13.2683,34.7828,35.8559,28.2609,35.4937,19.387,35.3213,125.3009,24.5799
"FMO1",4.2603,3.9528,3.2551,4.6532,4.4322,9.1361,2.9114,1.241,4.9748,1.5278,3.3334,3.3923,0.4665,6.9923
"ELOA",39.5941,28.7971,30.0751,30.4615,25.246,28.8123,26.6879,27.3271,30.9846,29.964,31.2985,33.0376,38.2229,29.374
"LYPLA2",30.4776,26.1446,36.7585,32.5839,21.4769,23.8386,31.3691,30.4474,26.7237,38.8831,30.9955,38.0177,31.44,30.4156
"CLCN6",17.5633,16.8012,13.0459,12.0915,11.5738,11.4352,13.142,16.8267,20.9591,11.4468,14.2271,9.9391,12.5419,14.6053
"MRC2",63.9947,61.2696,52.5621,50.9704,47.2184,80.1663,49.7088,38.7585,53.3294,29.7271,70.7837,47.7418,31.0726,82.4731
"SLC6A7",0.0498,0.0247,0.0428,0.1285,0.0233,0.2462,0.1486,0.0889,0.1172,0.0946,0.1478,0.0229,0.9086,0.2031
"TSPAN9",34.9253,35.9851,37.5825,35.9854,38.265,39.1564,41.8797,36.4588,34.898,30.5435,43.0946,37.2183,42.7402,43.5609
"BTBD7",35.5816,33.567,33.0664,28.6249,29.9352,33.0719,24.2758,31.1009,37.9258,26.1649,27.4418,31.7591,25.7072,34.8088
"APBA3",6.8175,5.5786,6.6131,6.2357,5.2601,4.783,5.6645,6.7642,6.8298,5.9728,7.6086,6.2711,5.5928,6.7943
"MKS1",3.8906,5.1495,5.7631,5.8759,4.4386,4.277,3.7874,5.8741,6.5958,4.7905,4.6199,5.3099,2.6431,5.9174
"ABHD5",16.5525,9.6666,12.6971,13.9709,10.4691,12.618,17.3032,10.3698,9.4743,13.1394,8.7386,16.545,16.536,12.0704
"ANOS1",1.8659,1.936,1.4875,6.4275,2.6629,2.1189,7.5272,1.1415,0.637,1.257,0.8031,2.0843,0.6673,2.112
"AKAP8L",24.2339,21.8864,24.9609,24.1098,20.5888,24.293,25.809,24.4555,22.9944,23.7579,20.561,21.6908,22.6014,24.5095
"MBTD1",33.5689,34.4848,31.4562,31.5154,25.1952,28.9017,22.9134,35.9298,39.6652,32.9059,19.5834,30.6566,19.2683,31.7679
"UTP18",42.4215,31.2144,39.3111,40.7285,36.4719,42.498,33.2417,39.1968,48.4457,42.8152,32.9651,44.1208,66.3256,33.4159
"RNF216",54.5491,44.77,46.4537,43.4005,45.6232,43.7272,44.6511,46.5742,54.7486,42.9966,52.3843,44.0765,47.3279,50.364
"TTC19",48.4072,43.0991,50.7939,45.7185,56.2195,52.4301,34.0534,52.9576,50.3806,44.3817,32.9857,51.8474,56.815,40.3116
"PTBP1",43.0459,45.6583,45.6485,50.5496,36.3781,34.4091,42.5375,46.3964,40.4704,45.4631,44.2809,51.8593,55.871,47.1269
"DPF1",0.0888,0.0659,0.1527,0.3053,0.1039,0.0914,0.149,0.0594,0.1044,0.0674,0.2469,0.5499,0.0219,0.4222
"SYT7",1.3123,2.3462,2.1469,1.5281,1.1891,1.7546,1.9041,1.3979,2.3894,1.0931,3.3472,1.8769,1.2377,1.2778
"LARS2",10.7537,11.3227,11.584,13.4205,9.0154,8.5867,9.0029,9.513,10.6756,11.7869,9.4548,14.2922,7.3984,12.2111
"PIK3C2A",99.0982,95.7945,94.5375,83.3092,99.8894,77.3439,79.3068,90.3019,89.8844,95.1215,57.0566,84.8381,101.6362,89.4956
"PLAUR",14.3937,6.602,13.5029,21.7823,18.0219,17.878,17.3078,22.6618,9.1937,22.7882,12.3001,35.07,70.8102,10.241
"ANLN",1.546,3.6756,1.6497,7.6056,0.6323,1.6243,2.3978,1.5542,1.3164,5.8434,1.9627,7.4981,0.9107,6.4526
"WIZ",6.9013,7.4289,6.0143,5.1374,4.4537,5.0273,6.72,5.3727,6.4172,4.9346,8.9485,5.1131,5.9434,6.682
"RABGAP1",75.2338,84.4993,74.3724,73.3449,73.1154,61.5641,65.7371,63.6654,69.2674,69.2279,66.7462,67.4285,51.4426,89.2265
"DCN",1218.425,410.3633,488.3315,251.1125,683.1152,728.369,422.5234,516.2124,1021.1674,294.3515,426.355,172.0363,572.1811,457.1277
"QPCTL",5.3189,4.4426,6.3878,6.7435,4.0972,4.0072,4.2746,5.5886,6.0326,6.3598,4.1664,6.3323,4.61,4.7823
"PPP5C",17.3476,17.4363,20.2224,18.5399,17.0172,14.8054,17.8076,19.8693,20.116,16.4394,17.3498,20.7668,15.1856,21.4942
"CEP68",49.3964,47.9812,40.4521,42.0395,41.0209,40.4838,29.3254,40.7207,54.1464,31.4315,38.5669,38.124,23.933,44.3608
"MAP4K3",59.7763,56.7035,54.0292,58.9063,50.945,49.9928,49.2595,58.2482,58.5993,54.2294,37.0967,48.602,50.6223,53.4761
"ZBTB32",3.2293,3.1574,4.2808,2.8757,3.8251,3.3962,3.2486,5.9377,6.1763,3.6934,3.6339,3.5332,3.4893,4.3335
"TYROBP",46.5272,20.8141,30.3992,29.385,50.8256,44.6034,55.3574,38.3783,36.3357,48.8969,43.7208,28.7762,36.9383,42.7703
"TMEM159",52.7415,43.4149,40.2502,36.0195,41.933,40.2413,40.2504,39.7828,52.5145,30.9419,38.3233,32.1002,24.6345,42.4778
"GABRA3",0.2568,0.0762,0.2869,2.0745,0.0962,0.8247,0.134,0,0,0.078,0.0761,0.4711,0,0.186
"BRCA1",7.054,7.0718,5.7189,7.6865,6.7228,5.5543,4.9685,6.2444,6.8539,6.4702,5.3562,7.7627,4.0742,7.7253
"ERCC1",22.8998,15.7962,23.7096,23.8705,17.6295,20.9669,21.4466,17.0595,20.7014,20.9909,24.8103,23.3555,23.0773,22.8136
"CD22",1.1581,4.8926,3.5214,1.6193,1.0682,1.5516,2.1649,1.4656,1.057,2.3104,1.4735,0.9831,1.7376,1.5653
"SEMA3B",25.8471,26.659,58.0291,39.9508,26.5195,23.4299,27.3264,29.4488,28.7422,40.9139,26.6233,29.2174,36.2162,39.7842
"MBTPS2",7.0885,10.3049,7.4244,7.28,7.3623,8.2997,7.3805,7.7829,9.8763,8.2694,7.0825,7.77,4.99,9.4503
"PRICKLE3",2.8274,4.0675,2.9314,3.8579,2.893,2.5203,3.3899,3.1737,3.119,3.6525,4.5158,3.7967,2.9589,4.4079
"LTF",12.8499,23.7688,18.3708,5.9926,5.7532,107.379,10.0974,142.4576,18.4713,336.663,17.6443,291.2982,58.6867,65.9455
"EXTL3",16.5739,14.6727,15.7561,13.8583,12.0998,13.1304,12.4228,13.0274,14.7056,13.1388,18.1105,18.0655,12.0112,16.6725
"NR1H4",0,0.1453,0.3282,0.0505,0.055,0.508,0.1971,0.2621,0.0691,1.2269,0.3048,0.1347,0.0579,0.133
"ELOVL5",75.0407,82.7295,76.3226,104.8955,71.1001,87.9857,76.0488,56.4954,44.8592,81.8212,53.2631,121.0823,173.5547,80.1756
"ALOX5",10.9995,10.9141,8.0796,8.6186,12.5729,8.9402,14.824,13.3609,7.9285,17.8783,10.6948,6.8663,9.7704,13.2719
"KDM5D",0.0788,0.0446,0,0.0097,0.0105,0.0093,0,0,0.0265,0.0086,0.0334,0,0.0111,0
"CALCOCO1",71.6429,52.8158,47.8288,42.6445,65.702,39.0058,56.2668,59.065,62.669,37.9,35.8125,39.8899,44.4156,58.227
"UBR7",32.5256,27.501,25.5565,27.145,27.0992,29.3852,23.0479,26.1822,28.5331,27.3764,23.3896,27.7463,29.4514,29.178
"MAP4K5",75.3935,53.9923,49.2268,56.9483,60.7459,65.7591,67.1633,68.9088,56.0934,58.1908,41.0517,50.1336,52.4988,60.7236
"EHD3",12.4566,12.1531,15.1878,11.8068,9.5335,16.4417,12.2172,10.7426,14.9073,10.3825,15.1766,10.7174,8.3367,14.1199
"PSMC4",72.3396,56.5792,74.79,71.0798,70.5901,59.2952,62.9017,58.4068,62.9006,75.1536,69.5453,80.3107,100.4948,73.7935
"MAN2B2",21.8314,22.3776,25.8802,18.928,20.5649,19.7954,23.6975,19.9763,26.3484,21.2163,18.4324,19.2007,17.189,17.5532
"SLC7A14",3.2287,0.1809,0.0436,0.0349,0.1426,0.1003,0.053,0.6433,1.0148,0.0386,0.3537,0.0559,0.2101,0.0827
"CLDN11",17.9296,2.1479,0.8904,0.5087,2.263,0.7717,1.0664,5.4586,7.6561,0.6368,2.0475,0.4298,2.2847,1.6303
"SLC25A39",29.7092,32.7823,44.7876,38.8069,26.1762,25.1121,35.9372,28.1868,33.6908,37.2745,34.2096,42.6109,32.0497,37.193
"MVP",47.4958,51.9342,49.1047,38.1357,44.1792,43.4133,67.4913,37.3241,46.4632,52.1082,57.1645,37.2164,43.7648,55.6587
"NUB1",45.4743,41.8471,47.2312,42.5528,44.6257,38.8259,39.3921,46.4373,48.3778,44.1965,32.7887,38.4978,33.695,47.7413
"PGM3",34.4295,30.6891,36.7729,38.9477,22.3233,41.2022,26.3896,28.0945,36.3797,36.5797,25.5952,39.3077,28.8897,31.19
"RWDD2A",7.8886,11.3329,10.5965,8.6024,7.7304,9.5695,6.2392,7.3936,9.5088,10.4356,7.6919,8.1698,3.0095,12.2896
"CLK1",205.3821,195.4072,142.9303,190.5109,258.5234,218.7099,188.0555,260.3205,172.0163,188.6431,111.4618,153.3794,258.6628,188.8174
"POLR3B",17.8579,15.8375,18.8851,17.6338,10.6101,19.307,11.4802,17.1942,19.4745,18.2975,17.197,14.8023,10.6391,16.2316
"ANGEL1",13.7679,17.9251,18.0255,18.1071,15.7814,12.2522,16.3029,16.9079,18.6284,13.296,18.1352,15.2959,11.5407,16.6082
"RNF14",38.6057,38.5453,42.6054,36.6317,38.3681,38.7757,34.0364,35.217,38.5376,34.2508,34.4448,38.4701,29.1199,40.1048
"DNASE1L1",5.1323,5.6664,6.562,6.2507,5.6507,3.4618,6.4217,5.0177,6.1563,4.9749,5.5441,4.6605,3.9906,5.4882
"DDX11",17.4745,14.71,11.8457,12.2271,11.3054,9.0933,7.6245,3.9329,12.9398,5.1651,3.2949,12.6645,13.1423,10.4607
"HEBP1",16.1652,20.244,14.8037,11.0879,11.905,14.8222,10.174,15.176,19.1913,10.2697,12.9505,9.5814,10.1716,11.992
"GPRC5A",23.3074,6.8677,6.3953,29.2108,7.4351,20.098,25.2445,20.193,10.4002,17.0245,10.2363,19.5174,126.9815,5.3646
"MAMLD1",3.8634,4.0359,3.4593,5.1805,5.4931,3.8295,10.8273,4.6612,3.4913,5.1345,4.9321,5.2338,26.177,4.1139
"CD6",1.2878,1.5223,1.3991,1.7217,0.6866,2.2977,3.4135,1.4526,1.7036,1.7387,1.2065,1.329,0.6698,0.8584
"TACC3",2.0178,3.8007,2.9206,4.1061,2.1209,2.1226,3.5229,2.3004,2.1278,3.7074,3.6187,4.4064,1.3728,3.5836
"UFL1",67.1937,59.808,58.4643,61.1598,56.3425,62.5058,52.6832,58.2291,69.681,62.0301,40.7411,59.7845,41.8574,60.6548
"POLA2",2.6986,3.542,4.08,3.0595,2.8314,2.9472,1.7122,3.0575,4.3435,2.5581,3.0644,2.8441,2.188,3.8128
"ZC3H3",7.5894,7.8511,5.6374,6.9904,4.3173,4.8111,7.494,5.6998,6.971,5.8941,8.1095,5.1753,7.6208,6.1722
"CAPN1",26.3505,34.9304,35.9157,30.5051,23.4364,27.428,32.0066,22.3893,28.0136,33.6507,34.6031,35.9313,18.9734,30.0708
"ACP3",1.22,1.996,3.2317,2.4395,0.7693,0.6356,8.1115,1.6666,0.6441,3.4792,1.1443,1.987,0.957,1.939
"MDH1",45.3387,53.4514,64.3597,58.7891,54.5496,56.6806,52.5706,44.7898,51.9069,62.5868,48.0926,62.5501,36.7483,68.8064
"SLC30A9",49.7526,46.382,54.9686,51.7801,48.1094,48.6623,38.3816,50.81,52.9856,48.2836,35.6617,54.885,48.0849,53.5511
"MTMR11",35.4288,21.5914,22.9605,23.1976,20.4276,28.4841,21.5641,21.3013,40.0707,21.1352,31.549,16.4846,18.5379,26.2777
"COX15",23.7041,27.9085,26.4178,22.199,23.7446,22.246,17.4733,23.9089,28.3299,26.0713,16.4197,23.6556,15.2856,28.2744
"CCDC88C",4.1508,11.2205,6.9958,6.501,3.9588,4.5763,6.1952,5.4725,6.5347,8.0109,7.6476,9.2356,2.9244,6.7796
"YAF2",12.6731,11.0827,12.626,12.3622,9.0216,12.7597,10.8257,11.1875,12.5437,12.7678,7.6231,12.1391,12.5189,11.654
"ZMYND11",163.6416,128.3611,143.8445,127.8109,149.1749,139.0575,110.8797,129.506,144.0181,126.8736,97.3289,126.115,133.5448,154.4712
"WAS",3.2949,3.1716,2.5607,2.5215,3.2119,3.308,5.081,2.4975,2.9191,3.7706,2.7435,2.567,1.8683,3.0245
"DPEP1",3.1148,0.8092,2.577,1.9409,0.4375,0.3848,0.7257,1.8069,0.5952,0.5618,0.202,1.0715,0.2302,3.7373
"BID",6.6544,9.3058,10.072,11.5832,9.2557,8.2991,8.7353,7.5311,7.4846,12.0296,7.9172,14.2206,6.9383,11.0254
"NPC1L1",1.1533,0.3604,0.6087,0.2956,0.3599,0.3999,0.2715,0.3973,0.6662,0.1383,0.5549,0.3341,0.5583,0.4764
"XYLT2",20.4291,19.5628,24.9929,22.9975,17.1043,20.5918,17.5673,20.822,20.656,20.8684,21.6828,21.8479,10.4987,22.8022
"RGPD5",0.0451,0.0595,0.0517,0.0517,0.0352,0.0247,0.0952,0.067,0.0707,0.0856,0.0446,0.0551,0.0814,0.0204
"STMN4",0.55,0.2561,0.3337,0.139,0.212,0.2931,0.2894,0.3176,0.4565,0.1474,0.4556,0.1187,0.1594,0.3808
"NUDCD3",43.5507,38.0052,43.3332,38.8369,39.4363,35.1625,32.4268,43.7128,41.8882,34.0718,41.0099,38.5952,37.1352,41.9532
"ISL1",0.1891,0.8985,0.3252,0.2601,0.8855,0.5919,0.2256,0.709,0.6673,0.3735,0.4206,0.2429,0.3355,0.2055
"CHDH",6.4868,8.7358,10.8341,11.5147,4.9846,8.238,7.1212,9.0136,4.5219,11.5569,7.456,16.6708,2.6705,8.464
"IL20RA",14.712,19.4877,26.0861,21.8999,12.2142,11.1132,15.0324,11.9235,14.8888,16.4939,7.1478,23.8699,6.6168,14.8523
"CLCA1",0.0322,0.1275,0.083,0.083,0.0603,0.0265,0.024,0.1149,0.1136,0.0489,0.2148,0.3249,0.0317,0.1166
"CLCA4",0.1546,1.0709,0.1329,0.9034,0.0579,0.1782,0.023,0.4139,0.8725,0.0704,0.1375,1.2194,1.95,0.224
"GLT8D1",45.5505,48.5928,55.6438,49.68,38.008,48.5752,37.7169,41.5825,56.411,46.8293,37.7114,46.4346,26.9296,53.8487
"ATP2C1",47.4351,63.8371,55.3807,61.8733,39.9007,44.9502,46.6214,49.5986,56.014,74.91,36.8791,71.2068,41.6028,59.0788
"IGF1",8.0499,5.7964,11.841,25.9472,7.0086,15.7019,15.3407,6.2115,5.7907,11.409,10.0458,21.1045,3.9215,15.6373
"SLC38A5",1.6444,2.0999,5.0839,12.8789,2.235,3.1887,3.4008,3.5979,2.5573,4.5923,3.7354,5.8876,2.5093,6.8688
