"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"MYO7A",3.5069,5.3406,4.2197,5.2424,5.5209,4.4206,6.934,5.2043,3.4669
"FCHSD2",19.8785,43.2959,42.2415,24.1001,26.7862,24.8004,33.3601,26.9523,21.6821
"ARRB1",53.0957,68.0384,64.29,67.8992,60.008,52.0576,82.0994,58.1445,57.1252
"SLCO2B1",13.567,21.3268,25.707,16.5346,27.8824,11.962,33.85,22.1869,15.0106
"THAP12",18.496,18.1277,20.8411,15.9664,18.8606,14.9498,10.7849,20.4721,19.992
"ANKRD42",19.4895,20.3778,18.8174,18.4912,21.9273,19.694,12.7418,22.832,16.6193
"IL18BP",3.1036,10.2359,5.2892,6.6948,8.226,10.3453,19.4031,5.484,2.615
"NUMA1",28.6386,52.7174,33.1961,34.6869,38.3097,36.8403,44.392,35.2477,24.9762
"CCDC90B",15.5079,24.7417,18.1761,18.8577,17.3266,16.4321,14.61,24.2719,17.9311
"SYTL2",42.8314,69.8313,64.8239,62.977,55.691,60.2602,40.8404,78.2059,51.0351
"RAB30",31.0175,36.6269,36.2079,36.5403,47.1619,29.5388,30.7504,40.5033,30.3772
"CREBZF",23.1753,53.7715,28.7316,35.0222,49.5474,35.2798,28.9597,41.9583,23.2843
"LRRC32",3.3963,9.5284,6.2449,3.7922,6.4845,8.8848,25.5993,8.1407,4.5705
"PRCP",12.8096,13.3996,15.8186,19.5907,17.2375,15.5091,18.5607,20.0202,13.2955
"NARS2",19.255,23.0985,15.9982,13.4519,20.0312,15.542,12.1767,23.1441,16.4547
"RNF121",22.4456,24.6133,23.0165,19.9018,25.0172,18.7845,19.061,24.0412,21.9976
"MRPL15",79.8845,55.6944,73.0649,49.4578,70.1108,52.7482,39.7574,74.8087,80.3689
"PI15",0.7888,1.8214,0.7006,1.4069,2.7616,2.2032,1.1329,4.5649,0.9743
"TTPA",2.9455,2.8385,1.611,5.646,3.3147,3.4914,7.0078,3.1332,3.1468
"GGH",3.9158,3.7389,3.9578,3.3327,4.4799,3.2677,2.3562,5.0423,4.8852
"SLCO5A1",1.7773,1.7302,1.2221,1.6602,1.4094,1.7513,1.2367,1.4506,0.9955
"SULF1",2.9962,7.6287,7.6494,6.6452,8.1612,8.6821,7.2912,18.7865,9.6109
"TGS1",20.4578,26.3341,23.2971,22.6243,25.2439,25.5848,22.9976,29.0507,21.6913
"SDCBP",85.907,70.693,69.4612,68.1258,86.524,67.881,57.1641,93.1236,87.9819
"NEK1",24.7092,30.3047,21.1174,28.2712,30.6324,28.6315,35.5692,35.6403,19.9009
"DDX60",5.5247,3.7789,6.3583,5.5885,7.9312,5.3088,15.565,9.7045,4.6769
"NXPE4",0.3286,2.0767,0.1977,1.2675,1.6385,0.8909,1.8542,1.0708,0.2492
"SORL1",165.6005,149.4971,124.3522,117.0108,162.6503,114.0059,96.157,149.0444,158.6664
"TMPRSS4",0.0413,0.1031,0.2086,0.0186,0.0621,0.1026,0.0607,0.0642,0.011
"BUD13",17.4705,26.031,15.4439,17.8488,27.4151,19.8664,14.1112,21.8718,18.0975
