"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"CEACAM21",0.3156,1.029,1.9615,3.2083,0.8731,0.9091,0.8661,5.0283,1.7198,0.6388,3.2136,0.3656,0.6138,0.3024,0.7197,0.6144
"PAFAH1B1",49.3613,47.0322,50.012,50.946,43.5719,42.459,44.9748,60.5622,49.4691,50.8233,50.3712,47.1196,49.5101,44.9692,47.4228,48.9916
"NOS2",0.4019,1.9979,1.0383,1.4419,1.1431,1.0322,0.9985,0.6925,1.417,2.249,1.8705,1.4605,2.2585,0.7021,1.4555,1.5581
"DNAH9",0.927,0.9895,1.0631,1.4052,0.8417,0.8711,0.9185,1.4386,0.7225,0.6896,2.3977,0.7869,0.5193,0.641,1.3648,1.1216
"KIAA0100",119.4126,111.2941,104.9658,94.4014,94.1952,89.0432,94.6025,97.016,112.3254,109.4528,100.7802,104.8032,121.6055,115.8879,117.5992,114.9562
"SLC13A2",117.4129,131.6513,44.2899,45.8852,96.8258,56.0661,88.0889,13.2456,105.9545,100.6135,14.9805,139.4302,80.636,104.7827,118.5565,110.2412
"GAS7",2.5698,3.573,5.4804,4.7601,1.6254,3.157,2.3453,8.0659,3.3248,1.8442,5.0959,1.5416,2.3443,1.6673,3.0552,2.0157
"TRAPPC6A",75.4653,64.9796,62.9922,56.3284,86.9556,63.8757,58.5704,49.064,61.3426,81.5573,55.7048,73.0771,79.9858,67.1644,63.4765,67.3267
"MATK",0.5781,1.1013,0.8122,1.6921,0.798,0.7544,0.4858,3.0417,0.7121,0.2798,1.6109,0.6793,0.6781,0.4334,1.2679,1.2371
"CEACAM7",0.1176,0.1227,0.0974,0.0621,0.3395,0.0713,0.0281,0.4533,0.2563,0.119,0.0785,0.0303,0.1429,0.0751,0.2011,0.0654
"CD79B",1.1601,1.3418,1.5045,6.4716,1.0919,1.8351,1.1915,7.737,2.5283,1.225,3.5358,1.0905,1.2873,0.8697,1.3369,0.6312
"SCN4A",0.6561,0.849,0.9827,0.5796,0.4917,1.1476,0.3432,0.3209,0.4125,0.6639,0.4422,0.2728,1.2237,0.6768,0.3452,1.0526
"ST7L",9.1842,8.772,11.0323,10.1494,6.0351,8.6337,9.8434,14.3371,10.6511,9.2032,10.8932,8.7161,8.0255,8.2325,8.2914,8.7854
"TKTL1",0.236,0.1385,0.1711,0.1635,0.1277,0.3756,0.2745,0.4093,0.1929,0.1194,0.4431,0.1367,0.086,0.2543,0.0504,0.0246
"PAX6",0.0403,0.0434,0.0084,0.0239,0.0255,0.0458,0.0577,0.0777,0.0769,0.0459,0.0959,0.0428,0.0478,0.0579,0.0732,0.0673
"RPUSD1",13.8218,10.9032,26.9513,11.5722,11.1126,13.9726,8.6845,15.5475,10.7643,9.8063,13.1649,12.5,12.0786,11.2974,13.8412,10.6534
"RHBDF1",7.5345,8.1642,14.9764,11.7006,5.3455,11.9161,5.9845,13.6389,8.049,8.2458,14.3916,8.4164,7.5315,5.5145,7.2203,8.2454
"LUC7L",36.2894,37.6448,30.181,42.4539,27.1961,36.9289,32.0414,56.2977,37.8936,36.2295,38.3998,32.8589,28.5874,31.1975,31.9499,36.2586
"CACNA2D2",3.2281,1.7756,2.2908,3.0251,1.3492,2.4565,2.8371,2.6608,2.142,2.5066,2.1285,2.6901,1.177,2.8014,2.4185,2.9196
"BAIAP3",10.7424,6.0477,9.9873,5.7037,6.1672,10.1271,5.2404,5.1049,8.2555,5.7714,4.7397,6.678,5.7479,8.79,6.4775,9.473
"TSR3",64.8076,45.3963,59.9668,47.1777,54.8303,54.4128,35.4406,53.5346,48.1427,55.3195,50.0109,58.8036,52.2733,46.8486,49.386,52.129
"PIGQ",31.309,20.2821,24.4179,21.4637,21.8197,28.0443,15.722,16.1441,28.8379,27.3565,19.4625,22.8267,20.4371,23.1183,26.8493,27.1353
"CRAMP1",6.1341,4.5914,3.9599,4.9926,2.9336,5.0732,4.3998,4.9243,4.9045,5.0566,5.0405,3.737,3.3173,5.5051,4.8517,5.6523
"TEAD3",19.4427,18.843,22.1021,21.6133,12.3566,20.5079,15.139,24.979,18.5479,20.5384,29.6508,18.6743,13.7303,18.1998,19.3948,21.4558
"SELE",5.1933,1.4196,8.0801,28.1824,83.7076,3.1972,13.4419,13.7578,1.9523,2.0884,5.8368,1.3659,3.9193,3.541,5.6426,0.2081
"DNAJC11",65.4537,39.784,60.3382,33.9672,34.9045,46.6006,39.0631,26.5286,45.6182,47.4778,42.1286,38.0129,40.4043,47.4509,36.6508,43.1165
"FMO3",10.9475,17.4396,10.299,20.7671,12.854,31.7707,26.2382,41.0521,28.9344,9.9156,13.5378,15.1321,22.2294,9.386,9.3087,15.9951
"MYLIP",64.764,43.0197,45.1917,44.2437,46.7111,43.1722,53.7047,76.2809,53.9729,41.6257,56.8572,53.7735,46.4867,63.6928,36.1544,37.7325
"NOX1",0.5726,0.544,0.4405,0.4211,0.3542,0.1488,0.3806,0.5359,0.312,0.2897,0.3686,0.3474,0.4175,0.5093,0.4196,0.2047
"E2F2",0.2285,0.1341,0.2209,0.3318,0.0137,0.2944,0.1636,0.3669,0.249,0.0771,0.553,0.147,0.125,0.073,0.0814,0.0953
"PSMB1",136.0598,125.0545,138.2149,118.976,154.8698,133.3479,123.535,155.5335,134.7318,134.0359,137.9951,137.8508,162.2412,117.0003,115.7738,115.5396
"SYN1",0.1672,0.218,0.1385,0.2648,0.0804,0.2787,0.2992,0.3007,0.0607,0.2537,0.3627,0.3012,0.1219,0.2402,0.3573,0.2789
"JARID2",17.5723,17.2555,20.4674,19.9074,11.8273,15.0137,13.4377,23.6374,15.6276,15.9791,17.1143,14.0448,12.9477,15.4448,19.753,18.0639
"CDKL5",10.3205,11.086,12.6441,10.8976,6.4551,11.9984,7.5442,14.8466,8.6236,11.3718,13.1722,12.2762,11.7883,10.8482,6.8597,8.719
"CAMK1G",5.0313,3.1788,9.2183,3.2177,1.6688,3.8373,3.2885,5.0347,3.8481,2.53,2.9418,3.9816,4.2615,2.3948,2.9392,4.0409
"CDK11A",1.2885,1.0402,1.0168,1.2312,0.856,0.9302,1.0542,0.5203,1.7607,1.2625,0.9217,1.2792,0.7606,1.1363,0.682,0.6142
"NADK",22.6115,20.5999,32.5673,24.1353,15.8994,22.401,16.6008,25.5045,23.0326,20.3312,23.9534,20.3868,17.2376,19.2633,23.0852,21.6516
"TFAP2B",15.3088,6.9808,14.2949,4.8849,9.2182,19.3343,10.729,12.9339,13.331,9.9689,10.1361,7.1892,10.7938,11.7025,6.7036,8.9652
"TFAP2D",0,0,0,0,0,0,0,0.0728,0,0,0,0,0,0,0,0
"DLEC1",3.3927,2.8889,2.5942,2.944,1.8272,2.8817,2.7412,1.923,2.6505,3.2818,2.2235,2.7064,1.9283,3.2261,3.0395,3.5067
"CYTH3",19.948,14.1653,19.4667,18.1114,11.7073,24.0564,16.1,26.2124,19.6107,15.8739,22.3263,17.7816,14.22,15.5922,14.5145,17.5227
"ADAM22",11.8077,9.119,15.7531,13.0391,11.2277,15.067,11.1867,18.9728,13.1643,11.1121,10.9455,9.4599,11.2464,8.6894,11.4955,11.1947
"SYPL1",112.2605,105.9101,117.3264,97.6171,96.9481,87.0849,127.525,121.5359,112.7619,117.499,112.4244,110.6355,107.9693,102.4534,101.1621,104.6571
"CYB561",42.3783,36.4783,45.496,28.3393,30.5247,33.8305,26.6394,31.4864,36.9784,38.573,35.2423,35.9685,38.5502,33.2962,36.9902,34.2724
"SPAG9",98.5347,90.8777,93.1972,88.9135,85.5059,76.5724,93.2084,106.9952,95.5546,100.2592,97.5906,102.6627,97.5667,108.3341,83.9378,83.6444
"CELSR3",0.5557,0.6228,0.7902,0.9516,0.3251,0.4713,0.5805,0.6772,0.8592,0.5623,0.6016,0.8176,0.3997,0.6474,0.8218,0.8958
"AASS",94.1695,129.9298,67.9422,67.1944,82.7988,43.9484,76.1926,57.9976,107.0226,111.6424,46.5909,107.3497,92.4444,84.5859,85.4148,168.8504
"PLEKHG6",3.7841,3.4194,4.6122,2.7071,2.1493,3.0422,2.8487,3.8391,2.4475,3.9776,3.7896,4.0531,2.1719,2.5257,3.987,3.6253
"SS18L2",6.8045,5.8462,9.0653,7.1859,7.2451,6.4015,7.1871,8.4592,7.2695,6.6159,6.8812,8.5768,8.2456,6.3264,6.6166,6.1774
"MPND",14.3135,12.5898,11.5237,15.6385,12.0872,13.0654,12.3901,10.0554,13.4405,12.0707,11.0812,15.599,14.2501,12.1067,12.3253,13.5923
"MGST1",24.1659,34.865,16.3874,41.0374,40.3846,26.8497,35.519,29.7901,40.5595,30.4522,37.3026,44.8646,42.4505,29.6828,32.7804,31.5987
"CRY1",14.8325,16.7451,18.0028,20.6537,11.5668,16.9531,13.2023,32.6411,11.447,20.7983,22.8911,18.1876,15.463,16.0001,15.1926,12.2831
"PGLYRP1",0.7345,2.8735,1.0955,3.025,0.848,2.5386,2.2083,1.925,2.4011,1.9325,1.7653,1.588,2.2495,0.985,1.5072,2.696
"NFIX",10.5537,11.5205,6.053,14.529,7.3126,8.7026,8.4804,9.2815,10.0387,10.2384,7.769,10.2833,8.1674,11.5185,13.0726,15.2896
"ST3GAL1",123.5754,90.0737,42.309,64.5534,119.4347,48.8907,79.8998,47.5473,88.8271,57.153,34.157,76.5606,80.6294,149.3593,133.2055,116.5977
"MMP25",0.5879,0.9583,0.9336,0.9506,0.4242,0.5124,0.7715,1.0951,0.6139,0.471,0.7604,0.6431,0.2501,0.3754,0.7121,0.3678
"IL32",27.1915,35.8577,24.3837,74.8268,18.0551,35.0796,40.0437,108.7245,33.7277,18.6288,114.994,64.5412,22.6882,15.9264,58.5254,24.3334
"PKD1",11.3519,8.0833,10.0292,10.1067,5.8351,12.4486,5.7683,8.6511,9.2334,8.444,8.036,7.8687,5.3605,9.998,8.6362,11.6563
"MAPK8IP2",1.0413,0.8428,0.9521,0.8105,0.9457,0.6532,0.5269,0.7473,1.839,1.4534,0.6832,0.6931,0.5106,1.4446,0.6601,0.7638
"MED24",26.1274,22.1034,23.9514,22.8829,20.1155,22.5147,19.8903,19.4263,24.304,24.0666,22.7995,21.363,19.3903,25.1711,24.1278,25.7346
"RHOBTB2",11.8144,11.9524,8.4989,13.6313,9.8198,9.2436,9.2344,9.1192,9.5658,11.2872,7.2471,11.5888,8.6497,11.4228,12.5228,16.1293
"HEATR5B",38.5556,36.0359,35.033,39.647,36.1678,35.9303,36.0952,52.3563,40.8865,35.4781,44.0231,34.7238,40.3965,32.3982,31.7031,33.4179
"SEC62",75.6662,67.6534,90.5344,60.2217,68.3861,54.9349,77.1449,92.2433,65.3718,75.7884,62.429,69.7929,70.9519,64.6283,56.1609,59.3152
"RPS20",133.1036,124.7542,149.5748,151.7064,165.2331,155.6759,140.3156,222.0092,135.3283,128.2556,192.0334,130.9847,143.5974,121.5533,113.9518,113.2846
"CSDE1",379.1074,355.0706,399.5427,338.2197,399.1782,328.4205,362.5594,441.625,363.9845,378.1066,335.3532,361.2581,394.7284,363.6205,316.3136,329.5852
"UBE3C",48.9818,46.3006,49.0401,50.9975,40.9988,44.8296,42.7309,63.3438,48.7518,46.6784,52.7944,47.1561,44.319,43.1584,46.339,45.6078
"REV3L",44.4466,42.1851,35.3719,48.6618,33.9403,38.1814,44.1306,53.6118,44.1653,41.6326,43.0864,43.9121,40.1205,43.1616,42.3974,40.375
"TENM1",12.5808,24.244,6.9162,15.279,19.8102,12.118,15.8414,13.3222,14.6059,17.6934,11.2828,16.5522,19.9539,17.9381,17.1836,21.2667
"PAX7",0,0,0,0.0127,0.0232,0,0,0,0,0,0,0.0124,0,0,0,0
"MASP2",7.7445,4.7026,4.2713,5.6696,3.8081,4.711,6.0511,7.5518,6.6024,5.6369,4.6731,4.886,5.9503,5.7103,5.0551,6.42
"IYD",58.8158,86.474,20.7996,46.6959,70.8858,29.9621,63.3851,12.8741,52.6302,80.9812,20.7463,81.0979,83.6203,82.55,80.6857,71.3975
"FAM76A",15.3201,20.0526,21.1286,14.8216,14.7652,14.2854,14.5183,20.0721,21.3723,19.6654,17.1701,16.7721,19.1569,12.1146,19.0772,21.058
"TRAF3IP3",2.4289,3.3076,1.7346,7.589,2.4307,3.137,2.9588,13.3857,4.1384,2.1321,4.9456,2.1346,2.6226,2.0696,3.1439,2.1607
"POMT2",10.7151,8.5061,8.5168,10.4377,6.8173,8.9426,8.7343,9.3332,9.1961,8.3507,11.5529,8.6992,8.2532,10.304,10.0947,9.4245
"VTA1",17.3384,15.9548,18.2372,15.56,18.3542,15.6271,16.5558,21.7931,17.5354,18.1694,15.0677,18.655,21.1909,16.7735,15.8417,13.8308
"MLXIPL",34.6024,41.4744,17.2351,35.7551,29.802,28.4871,31.3725,11.0056,28.9038,34.4919,15.596,39.3948,22.4449,51.8714,33.095,54.7782
"BAZ1B",61.2372,49.8175,61.6168,61.7219,46.2315,54.0113,50.997,88.1749,59.1863,53.2492,71.0486,51.5514,46.7502,49.3611,52.6114,51.6764
"RANBP9",37.0531,35.4703,43.2783,37.6806,33.3558,26.6691,34.7144,43.9181,33.3919,36.7693,33.1921,30.3206,35.0693,33.2911,36.5479,35.9711
"ETV7",1.2266,1.3711,2.2869,1.9778,1.4858,1.7931,1.3799,5.133,1.8141,0.7093,4.6505,1.1501,0.8625,0.5455,2.3224,0.8771
"SPRTN",8.611,8.9837,9.2654,9.8748,7.2814,7.7042,9.1392,14.9724,10.1128,9.5516,10.2108,9.5863,8.7063,8.3499,9.9374,8.7555
"EEF1AKNMT",29.5364,25.4051,27.0606,28.3395,22.2742,29.6063,22.5623,28.5856,27.305,27.5272,31.0748,24.631,27.0221,27.5133,29.5021,24.0289
"DYRK4",5.8237,5.0875,7.2689,6.9482,5.8304,5.4983,4.7389,8.3306,5.5268,5.4906,7.294,5.0206,5.8918,4.8019,5.1433,4.76
"ZNF207",43.1576,41.9747,44.1066,49.1545,30.5127,35.7983,47.4901,74.0925,44.8657,44.9249,50.1804,43.6568,38.366,38.6648,36.2151,37.9893
"UQCRC1",267.5997,229.8319,252.7709,167.4212,259.1631,203.4542,194.3502,139.1203,233.8092,263.9366,184.1865,256.4623,264.8961,238.7402,240.8781,243.4433
"STARD3NL",25.5194,26.3102,31.8674,28.6898,25.9309,24.8962,25.9817,40.9931,26.21,28.6482,35.9623,26.7444,30.08,23.7774,27.0639,23.677
"CD9",57.7727,53.4836,170.8136,51.4818,56.7675,76.3883,44.6137,94.0741,55.7425,63.303,76.0826,48.6473,49.9096,38.9682,49.382,52.9444
"HHATL",0.2521,0.0845,0.1492,0.1997,0.1039,0.0983,0.2836,0.0833,0.0392,0.1822,0,0.3059,0.1576,0.2415,0.2155,0.2403
"NCAPD2",21.0897,18.8664,20.2852,21.8602,14.9173,19.7528,18.3996,20.9902,19.1105,15.4372,24.3239,17.7371,16.5043,19.6633,17.991,19.136
"IFFO1",11.967,9.6764,8.5914,15.6418,10.2142,10.1197,9.2893,16.7634,12.376,7.7684,11.2684,10.1663,8.2818,10.7382,9.2251,11.7379
"GIPR",0.554,0.4335,4.9981,1.0238,0.1777,0.9518,0.2056,1.4392,0.4919,0.3737,1.089,0.3169,0.3142,0.3538,0.421,0.3594
"PHF7",9.9241,8.9021,6.9934,8.1051,8.2547,7.5644,7.1263,6.0532,8.793,9.949,6.1613,6.7321,7.0114,7.8776,7.2694,9.646
"SEMA3G",31.4045,30.2806,31.4685,26.0651,25.1606,23.9163,21.7434,30.546,28.8551,28.7774,25.4451,27.7981,31.8718,19.1868,21.5659,31.3561
"NISCH",51.0253,40.3653,45.7124,48.7316,35.9517,49.4071,35.6968,50.0992,48.5369,44.7139,45.8013,41.3323,34.0034,42.8097,43.2649,46.8853
"STAB1",16.8457,30.8738,32.5885,65.6858,13.2338,41.1695,20.3914,62.6862,42.8474,14.9997,58.7954,25.0373,12.9289,11.2064,26.8419,14.1353
"FUZ",25.4281,16.6447,17.4802,14.1427,22.8989,16.85,18.7826,12.624,17.6925,21.313,12.6621,21.8649,20.135,21.3555,19.1821,23.3579
"SLC6A13",246.388,286.5555,105.9373,172.8819,298.4862,140.4796,201.3636,41.2089,238.47,291.3555,96.3475,301.6022,286.9521,343.1123,243.5723,236.4234
"IDS",6.2217,5.8664,5.5169,7.3918,4.1991,5.8932,4.9986,7.8841,5.9751,7.0662,4.9757,4.8734,4.4391,6.1315,6.6688,6.18
"PRSS3",1.0948,6.7386,3.2656,1.0405,2.212,2.8545,2.2988,1.0127,3.0222,3.3974,1.0233,1.747,7.3445,0.839,3.6818,2.2528
"ZNF200",4.4525,4.0048,6.0914,4.6801,3.0529,4.6176,4.5178,8.2864,4.2171,4.3373,5.9036,4.1343,3.9043,3.2154,4.4593,4.1541
"CD4",10.156,12.0717,7.9046,24.0415,6.143,14.448,9.7208,32.3351,15.668,5.7046,24.3185,7.0491,7.3061,4.5692,10.2447,7.0826
"LRRC23",12.6424,11.5453,14.9085,14.8715,17.5331,11.4062,10.5869,9.614,12.8854,11.1729,12.149,14.1301,16.4751,15.5705,11.3923,13.5033
"BTK",1.5913,2.2412,1.5822,6.6799,1.2303,3.97,3.1407,11.8984,3.914,0.7592,6.3289,1.3867,1.3427,0.6533,2.6629,0.9482
"HFE",8.9066,10.1668,12.2088,10.1026,11.0691,9.3513,8.711,9.7757,9.6657,9.7364,12.5902,7.7689,10.0897,8.7951,9.0413,10.5796
"SCMH1",40.1787,46.7365,40.6752,45.475,35.7279,44.331,39.3594,46.2952,46.1025,50.0552,62.464,46.0679,40.8449,38.4657,42.8524,42.8251
"FYN",17.626,21.4561,13.9072,27.4542,18.5829,16.4788,17.5802,38.6621,21.3329,17.5813,25.1565,18.5191,18.8705,17.5027,18.0224,17.116
"HIVEP2",27.467,32.8945,32.9983,37.4644,23.9697,23.8113,25.4757,48.4176,27.74,29.7119,38.6604,25.8144,23.9016,23.3753,37.339,28.215
"FMO1",280.995,380.9722,72.132,192.0528,383.6284,168.4728,244.6591,103.3387,295.6638,311.8524,162.2157,346.1779,424.6375,299.7058,301.4833,236.0308
"ELOA",33.5869,29.9937,34.5917,32.5155,27.6201,29.9004,33.0612,36.642,31.0081,28.6787,35.5293,30.2847,26.1101,28.6439,29.9218,32.558
"LYPLA2",91.3938,86.6116,94.4904,82.9036,84.9656,78.4485,64.6509,90.2054,79.5735,79.7288,101.4736,87.1421,86.7227,75.7172,78.3202,80.8807
"CLCN6",27.5115,25.4496,13.2643,23.0501,18.1634,16.6323,18.5464,14.9784,22.1173,22.883,16.2226,20.5067,17.0555,25.1837,24.8831,29.2357
"MRC2",23.2745,19.7053,23.5084,33.6069,8.6084,28.7336,10.7987,32.9873,22.9725,12.3913,34.1647,14.3654,18.5487,12.7574,10.9823,16.4283
"SLC6A7",0,0.1712,0.2015,0.1156,0.0351,0,0,0.1125,0.1325,0.0246,0.0487,0,0.0177,0,0,0.0203
"TSPAN9",88.5784,77.4055,56.2856,62.3559,78.8329,63.3477,70.5144,44.781,72.4964,77.8563,64.5887,85.6224,73.3359,70.0624,86.413,82.0126
"BTBD7",33.7159,25.9361,23.9677,30.1351,21.2245,28.9976,28.9049,42.0265,29.2205,31.4448,40.5016,27.4659,27.6178,27.9897,28.0826,26.1136
"APBA3",9.3111,7.3583,8.0847,9.6122,6.4241,8.1817,7.5301,9.4983,8.0402,7.2597,9.6039,8.9549,6.1935,7.4416,7.5004,8.6824
"MKS1",7.4096,5.8193,6.7047,6.1461,5.2605,6.0606,5.3438,5.8182,6.8491,6.0154,6.359,4.9956,5.8266,5.9237,5.311,5.6048
"ABHD5",15.8506,14.3454,19.1235,14.4774,15.5397,11.9705,13.9834,16.8761,14.7171,15.4121,18.4158,13.9225,14.5463,12.0121,14.8148,11.8997
"ANOS1",0.8811,1.6202,6.9602,2.1751,1.0279,1.3224,1.1879,2.4452,1.2162,1.7536,1.706,1.236,1.4992,1.463,1.5319,1.7274
"AKAP8L",25.6779,23.2804,31.6944,28.9013,19.2687,27.5279,20.9908,29.4538,25.9956,23.7679,29.7142,23.0692,18.9936,20.9098,20.5722,25.8117
"MBTD1",22.1206,18.5998,16.7937,23.1504,16.3703,19.8438,22.364,32.1168,21.3286,20.1585,24.0086,17.2375,18.6328,19.9001,17.4779,17.3911
"UTP18",34.3209,32.8459,38.3215,36.3566,33.9851,35.592,33.8508,47.5737,33.878,38.7811,42.3087,38.3562,36.8118,31.5867,30.7271,30.7503
"RNF216",32.7407,30.5916,29.893,33.641,26.4301,33.8131,28.0464,42.2011,32.5815,30.757,36.0055,29.8079,26.7082,31.4814,28.6868,30.7035
"TTC19",50.6093,45.0303,52.8242,47.5411,48.2237,42.5795,44.1853,55.2472,48.6912,54.3094,48.7219,52.8352,48.3678,48.0848,46.827,48.4831
"PTBP1",54.7457,48.2679,45.3278,51.3453,41.1426,50.2857,41.4171,54.7786,47.0145,49.0057,51.6267,46.0959,37.3907,52.0977,49.9896,49.5817
"DPF1",0.1083,0.017,0.0898,0.0858,0.0313,0.0788,0.0155,0.0835,0.0472,0,0.1302,0.0335,0,0.1038,0.1297,0.0181
"SYT7",10.2459,1.9504,16.1237,3.7522,2.0969,7.1273,2.4744,1.7303,4.1569,5.7138,3.3513,1.8397,3.2939,4.2082,2.9084,3.4925
"LARS2",19.8078,18.9685,17.6491,16.7775,19.5929,17.3533,16.3637,15.831,18.196,20.0449,18.6447,19.004,22.6231,18.1874,18.8857,21.951
"PIK3C2A",92.5551,91.1027,90.7259,86.7322,76.5345,81.2358,88.5729,110.8469,91.7098,91.3528,89.4086,84.2163,90.0787,78.5399,77.7266,79.1644
"PLAUR",1.6101,2.6474,9.3194,6.099,3.6372,2.9077,2.5557,6.6373,1.602,2.9281,8.2023,2.7748,1.3783,1.3859,2.7134,0.9344
"ANLN",0.607,0.5428,1.5807,1.3598,0.5506,1.1515,0.7449,1.5641,0.8693,0.4563,3.7861,0.6026,0.4679,0.1994,0.6969,0.4774
"WIZ",10.6934,7.9618,6.8686,9.4463,5.2865,8.4918,6.5942,6.0704,8.0282,8.0007,7.762,6.0729,5.2439,9.8365,10.1532,10.3817
"RABGAP1",53.0196,47.9164,49.1435,48.8475,43.2207,48.9789,49.0108,60.4411,53.8238,48.4165,50.4306,41.9264,46.1222,44.972,47.3078,50.8606
"DCN",81.8688,81.4903,127.3888,153.7354,63.1964,99.9477,75.376,226.4949,140.5419,43.2501,103.4372,83.1123,64.3654,88.5781,41.8544,63.1559
"QPCTL",6.2953,5.7612,7.6567,6.2108,4.0115,6.2618,4.1639,7.4636,6.6996,4.9922,5.6409,5.5433,5.1008,4.6903,4.3754,4.7911
"PPP5C",22.9012,17.5404,22.2945,19.6028,16.6002,21.6709,17.045,17.7325,21.2787,19.3597,22.9493,16.4263,16.8177,16.7518,17.7999,20.2678
"CEP68",24.2787,17.742,21.7762,22.6879,14.7438,24.0469,20.963,32.2146,23.2105,20.4194,25.4616,18.2259,17.1768,19.56,19.6865,19.6204
"MAP4K3",57.9256,53.3197,58.7263,54.5304,54.6892,46.4393,54.8293,65.8326,48.6751,51.1111,48.6371,51.8497,56.6797,53.3496,41.6869,50.5014
"ZBTB32",4.3666,3.7138,4.9711,4.6916,1.6988,3.7991,3.6695,4.3904,2.8964,2.805,3.4604,2.9027,2.5751,2.4734,2.0778,3.0093
"TYROBP",19.2638,15.7909,31.5439,50.5867,17.7904,31.1846,25.1997,98.8195,28.989,11.9519,61.8949,20.1875,15.1346,9.9955,20.883,11.0007
"TMEM159",31.1436,30.413,31.701,28.1449,30.8065,33.3197,36.5555,41.3696,36.0642,34.6432,39.6174,46.307,39.5804,32.5204,34.9022,25.1332
"GABRA3",0.0251,0.0588,0.1038,0.0397,0.0543,0.1824,0,0.058,0.0546,0.1014,0.1004,0.0968,0.0548,0.072,0,0.0418
"BRCA1",3.118,3.2093,3.5189,3.6026,2.6775,3.2122,2.5921,4.0834,3.617,2.0357,5.1036,2.028,2.8687,2.0983,2.5036,2.4427
"ERCC1",18.7856,14.5238,20.1875,16.8589,17.5275,18.4612,15.9316,18.5504,16.6491,17.368,17.7855,16.3064,15.7938,16.2438,16.8757,15.3293
"CD22",0.6917,0.594,0.8666,3.1934,0.4383,0.4757,0.4106,5.1756,1.8751,0.5121,1.5712,0.5341,0.2829,0.6787,2.6829,0.9007
"SEMA3B",56.202,54.4865,53.7402,40.23,56.8734,42.0176,40.9809,31.6897,45.0734,56.1447,34.5252,71.2436,52.5148,66.273,41.7333,64.3797
"MBTPS2",11.9872,11.854,7.2929,10.3508,10.1102,8.0161,9.9544,9.7064,12.049,12.013,9.3383,7.721,10.3014,10.848,10.3886,10.6307
"PRICKLE3",3.3852,3.2497,4.2192,3.4247,1.6012,2.9756,2.4436,3.6401,2.8519,2.4757,3.789,2.548,2.1574,2.5887,2.7242,3.18
"LTF",26.6718,12.0362,14.6038,144.2211,6.3781,44.5357,21.3887,252.466,74.4656,6.042,847.9277,16.1662,4.5249,6.019,57.3582,11.7017
"EXTL3",14.7082,11.4961,13.4753,12.1357,7.8928,14.1758,9.8897,15.0924,11.5539,12.4801,16.2465,11.1849,9.4989,11.806,13.1076,11.3524
"NR1H4",32.8517,34.4081,37.6246,41.868,43.7726,32.6969,32.9155,47.4431,24.7406,45.6898,48.7466,44.3594,39.1952,41.657,36.9129,26.7365
"ELOVL5",57.4423,62.5961,49.2916,66.2144,61.1741,45.9464,65.7025,89.5466,64.2601,58.7921,66.9499,88.7741,58.0188,61.8968,54.8984,53.3361
"ALOX5",4.4054,6.7196,10.1886,20.0303,3.6217,8.2677,6.1676,46.769,9.5102,3.1038,16.726,3.3156,3.8428,1.8696,7.9627,2.5354
"KDM5D",0,0,45.1049,51.9678,0,0.01,42.7911,0.0085,50.4802,0,55.9895,42.1098,0.008,41.7536,37.6634,0
"CALCOCO1",49.2892,40.8532,44.1725,45.5194,40.5364,42.4293,44.1779,50.2297,46.018,44.9467,49.1621,39.5129,37.7326,46.1291,41.2241,47.5447
"UBR7",28.8679,22.9822,31.3857,23.1698,24.6818,28.2793,25.248,30.2263,25.5796,25.3743,22.1723,23.4125,26.4327,24.0475,21.6165,23.9591
"MAP4K5",21.8922,22.5549,37.6142,26.4958,16.8125,22.6064,23.2436,44.5876,25.0015,25.2066,29.2915,19.4023,21.7568,17.9247,19.7687,18.343
"EHD3",49.231,45.4025,20.0213,35.7664,35.8998,21.0368,30.1348,52.5213,27.9043,42.382,18.6721,47.4188,46.3214,48.6254,37.0441,45.4041
"PSMC4",97.9247,96.8228,100.7409,89.9327,106.8071,85.9533,87.0333,86.6143,88.8879,100.0458,91.2058,106.6671,116.5856,91.9679,102.1757,100.0998
"MAN2B2",28.5173,22.2129,28.3728,19.9444,23.4681,23.202,18.822,21.4862,21.4571,24.6885,21.1144,19.8147,22.0333,27.4071,25.5142,27.7162
"SLC7A14",0.4459,0.4032,0.5665,0.6357,0.522,0.1262,0.8654,1.0693,0.2483,0.4713,0.1389,0.5968,0.448,0.2088,0.1779,0.9423
"CLDN11",2.9123,2.7496,6.8007,3.6983,1.8064,1.0289,1.9814,7.6255,2.1769,2.5575,1.3016,1.7099,0.9478,0.9222,0.8849,3.7147
"SLC25A39",111.877,98.3403,111.08,95.176,107.6589,89.4995,77.0891,64.5038,85.4972,102.4702,70.3612,96.9337,102.4036,98.1561,110.8905,109.9414
"MVP",110.742,143.4733,116.2339,143.5135,101.8272,103.5005,118.8093,164.1506,145.9051,162.0596,170.8585,136.7619,141.4176,90.4594,117.3782,98.1073
"NUB1",33.5781,27.5217,42.5543,33.6893,29.8759,31.0661,29.1415,53.3524,33.2184,28.8255,40.4603,28.6589,29.6016,25.7395,26.7709,26.8095
