"","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-WVLH-0011-R10A-SM-HAKXZ","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-Q2AG-0011-R10A-SM-HAKXT","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-RU72-0011-R10A-SM-HAKXS"
"ABHD17A",-1.18082980103292,-0.639124197629195,-0.422435663545748,1.49542476084404,1.89759724433637,0.380876384383479,0.429578683826706,-0.0111901576025184,-0.974205949020025,0.0111901576025184
"ABHD17B",0.927831374014812,-0.0246993620787686,-0.878701000704558,-0.496654265830755,-0.681383371729574,0.0246993620787676,1.37757647950131,1.45933894595662,1.77728012437949,-0.566350354895771
"ABHD17C",-1.14480973544604,0.171146728519616,-0.719636859309324,-0.813269959704575,1.24842472366426,0.492232056401555,1.73558259530547,0.662044401553292,-0.171146728519616,-1.10138010839058
"ABHD2",-0.554134516218726,2.09124446129084,0.332172384328216,0.647619893874193,0.168452780273935,1.33001440918068,-0.470636171514324,-0.168452780273935,-0.253946960998674,-1.40471504731515
"ABHD3",0.17627086830464,1.45298393484265,1.0884406099498,1.18106185818965,-1.41132612066263,-1.04430358356232,-0.0739730475840848,-0.383974569024932,0.0739730475840848,-1.01859159033253
"ABHD4",-0.562814032048902,-0.42561880018339,0.955890972076412,0.881500328939609,0.42561880018339,0.600762659397868,-1.40161859839579,-0.654777097131599,-1.1347623063222,1.61153438226627
"ABHD5",-2.45979591268663,0.0374028155149035,0.329712660699924,0.388461879997258,1.10957472708866,-0.0253434822905294,-1.21790667485732,-0.882241038760795,-0.263160066767859,0.0253434822905294
"ABHD6",0.690220235934471,-1.20837746212128,-1.08952934210807,-0.45503764962998,0.023554503773781,-1.80264524905387,0.457086345634606,0.995429238634611,-0.023554503773781,1.17170195682771
"ABI1",0.245664063390401,-0.752306926232689,-1.16699940634819,0.0471317002697101,-1.2418785661073,-0.0071948065714466,0.568128710841148,0.0071948065714466,-1.54916133448828,1.78110396116252
"ABI2",-0.900198986507133,0.398137731744873,-2.16500798853874,-1.45072423299796,0.259267993368527,-1.80228503247225,0.226230250571125,0.339133394682182,-0.226230250571124,0.382320623228427
"ABI3",-1.33503461848758,0.250642887652329,1.12865352346242,0.962208298315067,0.603299564333654,-0.330372829403714,-2.04600152034154,0.115836434738472,-0.694713876612791,-0.115836434738472
