"","11BR020","20BR007","11BR047","11BR030","11BR024","05BR029","11BR073","21BR010","11BR074","20BR008","01BR027","18BR003","11BR025","11BR028","11BR017","11BR015","11BR023","11BR006"
"TRPM7",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TRPS1",0.755581398829098,-0.0423942542072457,1.38351788522496,0.70835907972347,-0.192922928756955,0.869517107243095,-0.525854164709817,1.25573457182457,-0.464235741360243,-2.07101745522264,0.679484117527242,-0.814255141272782,1.28848148140448,-1.29090869653655,0.0423942542072451,-0.226684882272408,-1.38960978388354,0.668487279088342
"TRPT1",0.473349647868628,-1.05942067783607,0.898577874201112,0.00487208545576723,1.85140183742643,-0.281192943440222,-1.38513280163036,-1.39232175492632,-0.40635990586449,-0.0407299981300417,0.203947071547008,-0.568441609464933,-0.00487208545576736,1.2696153293488,0.735512799883722,1.85773877032591,1.40829943385701,-0.132808495276072
"TRPV2",0.956931121569438,-0.949747233328567,0.957458475587959,-0.969602423314277,0.941658555346103,-0.972303345547342,-0.936506358461582,-0.985300341653653,-0.910237929004194,1.07394305382543,-0.937681451310033,-0.948378887773704,0.962164103120758,1.02754185770033,-0.945590064717975,0.910237929004194,1.08985334227742,1.0001116559802
"TRPV4",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TRRAP",-0.207277085272291,-0.950951225070767,-0.00514573716909805,0.243238479923075,1.92667176969251,-0.330907187994839,-0.519405375743525,-0.478662301002309,-2.65287260819927,0.144833974631514,0.717866791850924,-0.234196152252992,0.195447991873877,0.891990325849175,0.00514573716909808,1.48466371718893,0.595518837717282,-0.807130917610243
"TRUB1",-0.163519239071527,0.378376940077399,0.874114552764618,1.30409521693987,-0.884252758461852,-0.139849045637178,1.17676525221226,0.230755820897806,0.623058271475052,-1.38332183383298,1.47145737823369,0.139849045637178,-1.71371023496438,-1.09921331596649,0.934855393067172,-0.881256321101444,-1.21813157579226,-0.644002649386959
"TRUB2",0.966674805356859,-0.938308418849022,0.974133745611503,-0.95573654694723,1.20192145138094,-0.958107313416603,-0.926686084160699,-0.969515580635185,-0.903628659182565,0.903628659182566,-0.927717535821692,-0.937107337336836,0.993616692485339,0.932137280518165,-0.934659414879612,1.08777434666151,0.962008484455068,0.983948613602764
"TSC1",-0.485201564135081,-0.372784066359455,-1.54915067751739,0.692782496769044,-1.5766102585888,0.176010451256786,1.47697547824419,0.269059014492465,-0.2708571330907,-0.768957200827688,1.05913897229397,1.50920727140826,-0.176010451256785,-1.29291322239555,0.927782418836868,0.887944004796598,0.336829330151526,-1.20545935561499
"TSC2",-0.533411227306829,0.353897080841047,0.401366465249826,1.27731881688671,-2.64137967057186,0.897295997834714,0.542117575871493,-0.69663189007646,0.19011047719161,-0.566749122926177,0.000375099466611593,1.62519659925668,-0.000375099466611494,-0.633573018812356,0.476725064867035,-1.35962134007132,-0.933388705094988,-0.300022585126337
"TSC22D1",0.0701354263805046,1.63022690936713,0.750803189987684,0.741836342766854,0.311473713521067,0.890603024381052,-0.070135426380505,1.14715019365783,-0.166572935723849,-0.946253664168993,-0.565938302783911,-1.58476881410707,-2.26233595452567,-0.564744512280439,0.724711557428654,-0.424536767116639,-1.03216674857721,0.32803363192181
"TSC22D2",0.984303336796506,-0.944793514714474,0.906837271463931,-0.963868222147843,0.919014885483578,-0.966462974524076,-0.93207312198938,-0.978949075055924,-0.90683727146393,1.14953262705385,-0.933202023415525,-0.943478957102809,1.0017124704655,0.948355670067891,-0.940799759174723,1.05943906558688,1.01248287875883,0.975826469855305
"TSC22D3",-1.89104194566065,1.21684541542135,-1.55534298029936,-0.0110561828793337,0.127699137701864,0.214751770099576,1.86296790378639,0.00119852259130641,1.37463771364522,-1.33514197498887,0.565644052962843,0.624993125932761,-0.00119852259130641,-0.144315680847202,1.01450243520788,-0.679050962575876,-0.0365053001756068,-0.384011345305293
"TSC22D4",0.523830598466795,-1.1067651758212,-0.0526010228568722,-0.0965376951341569,1.20376663980629,-1.17196347066897,-1.24408635256584,0.0567938047057118,-1.24830739687713,-1.59900886268798,0.925983855476848,0.506385173064831,-0.409106546689931,1.50563146626749,1.46832040070801,1.07307609757088,-0.376262854681485,0.0526010228568722
"TSEN15",0.189269167731344,-0.546805206740406,0.629363090737323,0.0486116255178841,0.862737990467927,-0.281938931267853,-1.17611669151237,-3.55831481007596,-0.125438244128046,0.805999786529585,-0.314424094623735,-0.229632220529976,-0.0486116255178841,0.112733451059043,-0.820354282717568,0.416391803288063,0.283676011602109,0.48292145384854
"TSEN2",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TSEN34",-0.647745119313579,-0.0686054865433888,1.05139418294006,-0.114781068506345,2.03917343603747,-0.716204524377684,1.26781661137344,-1.32488844189731,0.0686054865433888,0.475266102444026,0.435999930005258,-0.576426382576226,0.516799285634984,-0.257199819662679,-0.804990986894006,1.46920129856875,-0.741200846846282,1.97228349275738
"TSEN54",-0.29420730542096,0.464015831104088,0.318490107279464,0.869159922127814,-1.49014510548148,-0.346492163967877,1.17030239818402,0.109175338702216,0.688760655189353,-0.109175338702217,2.07265417472512,-1.15402553500751,0.371307306458077,-1.60542666853478,-1.27534448572206,0.422024605339912,-0.74114613654516,-1.03544571083971
"TSFM",-0.0996573595778466,1.50743119257469,-0.467461430534904,-2.22444529925859,1.43902177849277,0.416035211246071,0.0996573595778465,-0.860824813152846,0.765481492157296,0.867723627532134,0.485496904396581,-1.16695592892956,0.234820637158351,-0.644254483422773,0.555875179891874,-1.11569416935942,-1.16512647183205,-0.688819219047625
"TSG101",-0.522413800257383,1.69473728740277,-0.735407888712224,0.257287547322996,-0.0824831837217759,-0.336078047291757,1.73612083385538,0.422705656017647,1.4770043922194,-1.19850192214489,0.244542345496067,0.948984484985093,-0.944960730410612,0.0824831837217759,0.742069162033765,-0.181179286692627,-1.20542994129163,-1.5681658562399
"TSHZ1",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TSKU",0.990700386578213,-0.876409157792215,1.03378764249489,-0.892567701730655,1.08447358558343,-0.894765765340658,-0.865633473526512,-0.905342976276575,-0.844255709229797,0.844255709229797,-0.86658978718743,-0.875295571279714,1.12098581332001,1.23677714688128,-0.873025972252208,1.14847381233497,1.04767673035878,1.04102239323796
"TSN",0.378955126151305,0.830577604389435,-0.00216047178338389,0.468628068141578,1.1238675417636,-0.618849778673902,-1.59610090697354,0.00216047178338391,0.826283211161929,0.65443650707329,-1.43583166410457,-2.16728621898544,-0.272999436784316,0.591214617154685,-0.408643519780917,1.71698881796668,-0.0559929306880204,-0.599144791123707
"TSNARE1",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TSNAX",0.0648194153506317,1.82322189076201,-1.38269915430194,-0.256171762847463,1.41211414609817,-0.707506665245938,0.123712733608337,-0.819727978545355,1.91987735170171,-0.396963137145949,-0.794791157440271,-0.0648194153506321,0.384903668599789,0.833052823512381,0.699695116357592,-0.2620574176526,-0.980974650336072,1.48204019586208
"TSPAN1",0.222479140071915,-0.182285443418816,2.08980594788394,-0.524483764667861,2.31392573533851,-0.485505253821467,1.27047037522508,0.120025641027351,-0.0189913835266029,-0.805265689728523,-0.930049332350589,-0.691696212417176,-0.592755655917506,0.980256785365885,0.0189913835266029,0.453448015022653,-0.477708614790222,1.52984774968929
"TSPAN13",0.878074601360475,0.124697667777772,2.9539502938308,0.0151657974697874,-1.16108079038375,0.75708011329725,0.0222020888431543,-0.113121332691206,-0.722166358800789,1.24730400372899,-0.0151657974697878,0.219182735247441,-0.0552316509357201,-1.56908841101379,0.319609997495726,-0.5765308924814,-0.684213499646026,-0.383729971402277
"TSPAN14",0.286876997078431,-0.0704745980542823,0.315607197275203,-0.320563562421108,1.46590183911529,0.0704745980542822,-0.560405678881442,-0.299481652427672,-0.281539503228331,-0.292268898531229,-0.550035205322479,-0.250703228698904,0.440235571041587,2.75985211521304,-0.649841155763908,1.76160392042709,1.89585785239887,1.14522734689127
"TSPAN15",0.887903959993335,-0.927125350671024,1.18771594038345,-0.947466889250753,0.987953093330408,-0.950233969991067,-0.913560143431506,-0.963549324712296,-0.886648274463194,1.08812767290277,-0.914764019925699,-0.925723487787078,0.891733417009893,0.886648274463194,-0.922866353112417,0.944357564260912,0.921827570219071,1.26128112723241
"TSPAN31",-0.942843827521219,1.10867341942066,-0.929882835371089,1.082830352735,-0.870804238786582,1.15357916263518,0.912136068804544,1.10088845811959,0.921972713535701,-0.95027774885962,0.870804238786582,1.08946857295363,-0.915084633982569,-0.890172857179993,1.00030881312953,-0.882785250907701,-0.905796837107257,-0.917998125102982
"TSPAN6",0.713224326216946,0.171697005561642,0.572282822699171,-0.52375315127077,-1.58150322949272,-0.214129299672374,1.71905042171875,2.08410369112895,-0.490113455004987,0.245984775975982,-0.455926935160287,0.815250770532478,-0.171697005561642,-0.989159596926019,1.32132817198503,-1.28482037154405,0.758295454399543,-0.393249422904731
"TSPAN8",-0.420875681383917,0.561908673925197,-0.0750118121637973,-0.826341015150814,-0.290615013538922,0.162189177504456,-0.115082953496401,-0.901691140648328,-0.000911144536533189,3.64438003777915,-0.681883919465283,0.000911144536533133,0.698770394337467,0.135990574884372,0.877381327612526,0.383751130150484,0.445941722342677,-0.327204731270377
"TSPAN9",0.960767571403203,-0.121094846170513,1.05582778342853,0.462459079337657,-3.15004805756154,-0.299009128345814,-0.584881963907126,0.381764562483864,-1.41755596437844,0.73391776415271,-0.230802171381103,-0.302453357567692,-0.488298790167317,0.225106785640596,0.121094846170514,0.819593317294812,0.628079580689638,-0.591782382815844
"TSPO",1.64487050696642,0.474786524105021,-3.60764840130548,-0.140888745000038,-0.152915376853295,-0.177191487144181,0.143481771019399,-0.0203424008278527,0.199662305414523,0.273355986172698,0.40373518886231,0.408223176431188,-0.356626058736032,-0.509808830297985,0.412579203284937,-0.152177538369633,-0.164965427961654,0.0203424008278527
"TSPYL1",-0.980158685654203,0.95955628409988,-0.969422402228031,1.00414556631113,-0.920484438991523,0.920484438991523,1.02684518495975,0.958612605859072,0.930593532395347,-0.986316600536988,1.07758754433358,0.986187199594688,-0.957164260068511,-0.936528502149369,1.02653569145993,-0.930408952514467,-0.949470680865389,-0.959577660683685
"TSPYL2",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TSPYL4",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"TSPYL5",1.6178361867384,-0.968184887600611,1.36650356581564,-0.478068127441458,1.32144675118416,-0.8074735743261,-1.21765020708514,-0.671237165876326,-2.20235873193908,-0.208792769633595,0.216976328175923,-0.585643609526119,0.450463268016577,0.452874764261946,-0.689382727053523,0.208792769633595,0.60323593638235,0.698104926276241
"TSR1",1.27177006154475,-0.739017333618611,0.550493857186308,-0.834080390570888,1.40935436396135,-0.221199609687977,-1.77146558578739,-0.203495825305892,-1.38705060356709,0.573683953481238,-1.43414447741889,-0.832389076366637,0.748897282038367,1.09337139081664,-1.32061311064293,0.528228881152428,0.229595826656175,0.203495825305892
"TSR2",0.657554675387193,0.606889294709536,0.0886139664279648,0.304290944713034,-2.77223989509412,-0.503682533454009,-0.737925969022652,-1.08114753873889,-0.101091484131574,0.449020557178513,-2.20745559637806,0.505378389038962,-0.017865165297276,-0.65049221809065,0.267922886400198,-0.998516313639329,1.03842461072734,0.017865165297276
"TSR3",0.749000766103168,-0.514121131575454,0.11047500614447,-0.542851111744021,-2.99210889646844,0.234049555493702,-0.229535282078363,0.245714522997772,-1.47517296277241,1.07916163631318,-1.64366626549294,0.0655321628686665,0.378008210905012,0.276648367507147,1.03900787849737,-0.440721445047388,-0.0655321628686665,-0.363896232885262
"TSSC4",-0.777885228210968,-0.312255407230617,-0.738609654482999,2.3893772557651,-0.241931772465708,-0.758206675322156,2.14725029148795,-0.325017150303824,0.146069846427358,-0.693497063632785,1.63314295663314,1.3566314898554,0.0544195419438676,-0.0544195419438676,0.84489966981234,0.16350400908954,0.479941985382365,-0.310803653804197
"TST",-1.26522793564901,1.51617557070088,-1.48592158119348,-1.59343619980208,1.78415282952598,-0.416656366149993,0.171091997933015,-0.964249572286947,0.65314747983973,-1.2369664822034,0.755488691511926,0.895920192356971,-0.106404051163903,-0.400047577383045,0.248459649627171,0.618896287228054,0.106404051163903,-0.384214825227996
