,C3N-03452,C3N-01197,C3N-02684,C3N-01365,C3N-01191,C3N-03446,C3N-03450,C3N-03026
TMEM168,-0.27,-0.67,-0.96,-1.03,-0.29,0.13,-0.48,-0.45
TMEM169,NA,NA,0.34,0.52,NA,-0.31,-0.38,NA
TMEM173,-0.31,-1.25,-0.79,-0.29,-0.88,-0.32,0.02,-0.2
TMEM175,-0.08,-1.24,-0.49,-1.72,0.5,-0.34,0.48,0.03
TMEM176A,NA,-0.12,NA,NA,-0.15,NA,NA,NA
TMEM176B,-0.51,0.36,1.04,0.14,0.38,-0.22,NA,-0.29
TMEM177,1.08,1.13,1.32,1.42,0.47,0.67,0.79,1.22
TMEM178A,0.12,0.79,-0.04,1.06,0.59,0.09,-0.32,-0.02
TMEM178B,1.05,1.51,1.88,2.1,-0.06,0.27,0.86,0.66
TMEM179B,-0.3,-0.93,-0.73,-0.46,-0.29,0.65,-0.19,-0.07
TMEM181,0.64,0.5,1.19,1.01,0.05,0.6,0.57,0.44
TMEM184B,-0.91,0.4,0.34,0.99,-0.07,-0.45,0.2,-1.87
TMEM186,0.94,0.73,0.69,0.41,-0.07,0.07,0.55,0.68
TMEM189-UBE2V1,0.25,0.28,0.22,0.43,0.23,0.02,0.1,0.14
TMEM19,-0.59,-0.92,-0.13,-0.82,-0.69,-1.02,-0.54,-0.5
TMEM192,0.26,0.11,0.25,-0.17,0.43,-0.15,0.21,0.33
TMEM199,0.46,-0.23,0.09,-0.06,-0.41,0.13,0.48,0.37
TMEM201,-0.99,-1.57,-0.51,-1.3,-1.1,-0.96,-0.96,-0.91
TMEM205,0.07,-0.63,1.54,-0.33,-0.59,-0.09,0.07,0.3
TMEM206,-0.39,0.41,-0.37,0.28,1.62,-0.36,1.05,-0.25
TMEM208,NA,NA,-0.89,0.55,NA,-0.22,-1.17,NA
TMEM209,-1.19,-0.65,-0.58,-0.56,-0.51,-0.41,-0.55,-1.18
TMEM214,-0.54,-0.05,-0.68,-0.63,-0.37,-0.13,-0.55,-0.66
TMEM219,0.14,NA,-0.04,NA,NA,NA,0.1,-0.17
TMEM222,0.57,NA,1.2,0.94,NA,0.22,0.61,0.7
TMEM223,0.26,0.38,-0.14,0.65,-0.08,0.49,0.73,0.25
TMEM229A,1.25,NA,0.85,1.36,NA,0.67,1.8,0.14
TMEM230,-0.35,-0.33,0.21,-0.3,-0.39,-0.02,0.19,-0.22
TMEM231,-0.36,-0.81,-0.8,-0.34,-0.32,-0.62,-0.47,-1
TMEM237,0.25,-0.04,-0.1,-0.22,0.23,-0.32,0.09,-0.17
TMEM240,0.58,1.63,2.24,2.28,-0.63,0.55,1.07,0.94
TMEM242,NA,NA,NA,-0.21,NA,-0.06,NA,NA
TMEM245,0.46,0.64,0.84,1.07,0.47,0.04,0.49,0.94
TMEM246,1.46,1.22,1.63,0.95,-0.7,0.77,0.72,1.33
TMEM248,0.04,0.15,0.56,NA,-0.26,NA,0.16,0.35
TMEM259,-0.71,-0.22,0.08,-0.34,-0.5,-0.45,-1.12,-0.86
TMEM260,NA,NA,NA,NA,NA,NA,NA,NA
TMEM263,0.01,0,-0.04,0.42,-0.24,-0.16,-0.42,0.14
TMEM30A,1.48,1.21,1.86,2.7,0.31,1.01,1.66,1.77
TMEM33,0.16,0.14,0.43,0.48,0.2,0.19,0.12,0.13
TMEM35A,0.91,1.73,1.72,1.33,-0.22,0.71,0.48,1.01
TMEM38A,1.06,1.39,1.09,0.75,0.29,0.61,1.27,1.23
TMEM38B,0.01,-1.66,NA,-1.98,0.02,-0.57,NA,-0.33
TMEM39B,-0.63,-0.71,-0.64,-0.19,-0.87,-0.44,-0.14,-0.42
TMEM41A,0.1,-0.13,-0.13,0.25,-0.1,0.32,-0.36,0.23
TMEM41B,-0.3,0.16,0.08,0.32,-0.25,0.79,-0.17,0.4
TMEM43,-0.38,-0.58,-0.42,-0.57,-0.71,-0.33,-0.32,-0.46
TMEM47,0.6,0.27,0.27,-0.08,0.13,0.18,-0.2,0.7
TMEM51,-0.56,-0.54,-0.63,-0.51,-0.44,-1.15,-0.26,-0.37
TMEM56-RWDD3,1.54,1.61,1.69,1.2,1.12,0.62,1.4,2.05
TMEM59,0.41,-0.04,0.39,0,0.89,0.44,0.66,0.27
TMEM62,NA,0.26,-0.04,NA,0.06,NA,0.15,NA
TMEM63A,0.34,-0.56,0.43,-0.21,1.22,0.47,1.25,0.66
TMEM63B,0.39,0.52,0.69,0.57,0.08,-0.09,0.5,0.2
TMEM63C,0.7,1.07,0.33,0.65,0.55,0.36,-0.25,0.57
TMEM65,0.76,1.18,1.98,1.33,0.24,0.2,0.69,1.23
TMEM67,0.11,-0.7,-0.08,0.21,-0.24,-0.11,-0.18,-0.33
TMEM68,-0.32,0.31,0.58,-0.16,0.13,-0.55,0.1,-0.16
TMEM70,0.41,0.66,1.14,0.97,0.27,0.32,0.6,0.68
TMEM74,1.01,NA,1.8,NA,NA,NA,NA,0.95
TMEM87A,-0.57,-0.15,-0.3,-0.56,-0.07,0.32,0.19,-0.5
TMEM87B,-0.05,-0.22,-0.79,-0.07,-0.19,1.4,-0.13,-0.05
TMEM88B,0.78,0.55,1.15,1.68,1.7,0.92,1.43,0.77
TMEM9,0.74,0.78,0.9,1.26,-0.1,0.21,0.41,0.75
TMEM94,0.87,1.42,1.67,1.73,0.4,0.26,0.66,0.93
TMEM97,-1.69,-0.36,-0.7,-0.9,-0.89,0.73,-0.53,-0.45
TMEM9B,0.42,0.41,0.42,0.82,0.26,0.17,1,0.44
TMF1,-0.35,-0.15,-0.06,-0.15,-0.13,0.29,-0.08,-0.44
TMLHE,-0.26,0.96,0.33,-0.14,0.61,-0.29,0.34,-0.36
TMOD1,-0.11,0.34,-0.17,0.21,-0.16,-0.08,-0.29,0.37
TMOD2,1.12,1.48,1.54,1.43,1.12,0.65,1.14,1.18
TMOD3,-0.3,-1.3,-1.02,-1.37,-0.4,0.23,-0.7,-0.53
TMPO,-1.05,-0.72,-0.47,-0.6,-0.44,-0.35,-0.4,-1.24
TMPPE,NA,0.51,0.3,0.25,0.36,0.36,0.48,NA
TMPRSS5,1.37,0.12,1.27,0.19,0.91,0.44,NA,0.35
TMSB10,-0.37,-0.57,0.16,-0.39,-0.44,-0.49,0,0.11
TMSB4X,-0.45,-0.41,-0.32,-1.16,0.81,-0.14,0.06,-0.45
TMTC2,-0.18,-0.16,-0.59,-1.57,0.6,-1.06,NA,-0.17
TMTC3,-0.61,-0.86,-0.06,-0.38,-0.83,-0.57,-0.39,-0.64
TMTC4,-0.53,0.41,0.67,0.37,0.21,0.06,0.94,-0.22
TMUB1,0.01,0.29,0.36,0.15,0.07,-0.06,0.33,0.13
TMUB2,0.05,0.97,0.62,0.63,0.28,0.53,0.37,0.24
TMX1,-1.07,-1.74,-1,-1.46,-0.78,-0.55,-0.8,-1.22
TMX2,-0.53,0.07,-0.1,-0.42,-0.56,-0.45,-0.26,-0.62
TMX3,0.02,0.32,0.12,-0.06,-0.73,-0.39,-0.56,0.03
TMX4,0.05,0.31,0.44,0.14,-0.01,0.06,0.22,0.18
TNC,-0.95,-1.66,-1,-0.83,-0.38,-0.78,-0.66,-1.28
TNFAIP1,-0.16,0.72,-0.13,0.06,0.17,-0.39,-0.18,0.55
TNFAIP2,-0.2,-0.45,-0.51,-0.63,-0.39,-0.22,-0.02,-0.07
TNFAIP3,-0.3,-0.38,-0.83,-0.43,-0.6,-0.32,-0.53,-0.39
TNFAIP6,0.06,-1.46,-0.93,-2.05,-1.6,-1.97,0.04,-0.61
TNFAIP8,-0.21,-0.94,-0.75,-1.02,-0.95,-0.25,-0.55,-0.92
TNFAIP8L2,-0.52,-0.04,-0.16,-0.57,-0.83,-0.43,-0.19,-0.23
TNFAIP8L3,0.15,0.48,1.57,1.14,0.24,0.31,0.95,0.45
TNFRSF10B,0.13,NA,-0.52,0.08,NA,-0.34,NA,-0.07
TNFRSF10C,-1.11,-1.47,-1,-1.76,-1.45,-1.43,-0.69,-1.33
TNFRSF12A,-1.52,-1.7,-1.95,-2.46,0.09,-0.8,-1.47,-1.4
TNFRSF1A,NA,NA,-0.08,NA,NA,NA,-0.51,NA
TNFRSF21,0.42,1.12,1.49,1.18,0.7,0.12,1.1,0.45
TNFRSF6B,2.46,NA,NA,0.58,NA,0.4,NA,0.68
TNFSF12,0.28,-0.06,0.16,0.37,0.67,0.58,0.15,0.31
TNIK,0.5,0.51,0.45,0.64,0.17,0.14,0.84,0.47
TNIP1,-0.15,-0.3,-0.21,0.08,-0.2,-0.36,0.03,-0.13
TNIP2,-0.94,-0.06,-0.1,-0.28,0.4,0.05,NA,-1.75
TNK2,0.12,1.2,0.39,0.42,1.02,-0.04,0.13,0.31
TNKS,0.17,0.35,0.61,0.04,0.3,-0.25,0.08,0.2
TNKS1BP1,-0.49,-0.65,-0.36,-0.28,-0.77,-0.25,-0.35,-0.32
TNKS2,NA,NA,NA,NA,NA,NA,NA,NA
TNN,-1.62,-2.83,-1.24,-1.11,-2.16,-1.55,-1.22,-1.74
TNPO1,-0.41,-0.65,-0.55,-0.87,-0.17,-0.35,-0.39,-0.52
TNPO2,0.27,0.29,0.48,0.54,0.22,0.14,0.27,0.48
TNPO3,-0.16,0.06,0.11,-0.14,-0.01,-0.07,-0.17,-0.16
TNR,1.03,1.5,1.67,1.67,1.63,0.49,1.07,1.49
TNRC18,NA,-0.63,-0.39,0.04,-0.76,0.09,-0.88,NA
TNRC6A,-0.52,0.18,-0.3,0.17,-0.05,-0.07,-0.2,-0.06
TNRC6B,-0.3,0.09,-0.09,-0.05,-0.38,-0.12,-0.27,-0.1
TNRC6C,-0.32,0.27,-0.24,0.11,0.32,-0.25,0.35,-0.14
TNS1,0.68,0.14,0.27,0.27,0.5,0.84,0.29,0.12
TNS2,0.6,0.78,0.56,0.51,0.98,0.54,0.47,0.07
TNS3,0.37,0.01,-0.1,-0.07,-0.21,0.09,-0.06,0.23
TNXB,0.17,-0.65,-0.74,-0.64,-0.54,-0.27,-0.89,-0.18
TOB2,0.88,0.32,NA,NA,0.48,NA,NA,-0.07
TOE1,-0.79,-0.13,-1.66,-0.39,-0.69,-0.56,-0.33,-0.88
TOGARAM1,NA,1.09,0.64,1.24,1.27,0.51,0.36,NA
TOLLIP,0.56,1.15,1.11,1.31,0.7,0.61,0.75,0.87
TOM1,0.59,0.87,0.87,1.27,0.63,0.71,0.86,0.89
TOM1L1,0.03,0.04,0.86,0.76,-0.17,-0.3,0.08,0.32
TOM1L2,0.76,1.43,1.05,1.27,1.2,0.81,1.12,1
TOMM20,0.78,0.66,-0.18,-0.02,-0.3,-0.35,0.3,0.44
TOMM22,0.46,0.62,0.46,0.74,0.25,0.53,0.17,0.25
TOMM34,0.32,0.26,0.43,0.29,-0.3,0.07,0.14,0.28
TOMM40,-0.12,0.41,-0.06,-0.23,-0.38,0.28,-0.42,0.17
TOMM40L,NA,NA,1.16,1.25,NA,0.52,-0.29,NA
TOMM5,NA,0.39,-0.17,-0.14,-0.46,0.48,-0.27,NA
TOMM6,0.92,0.25,-0.37,0.17,0.23,0.34,0.02,1.03
TOMM7,NA,-0.2,0.51,0.75,-0.77,0.36,0.25,NA
TOMM70,1.07,1.23,1.52,1.13,0.26,0.58,0.69,1.05
TONSL,-1.07,-1.36,-1.51,-1.58,-1.16,-0.98,-0.27,-0.86
TOP1,-1.11,-1.26,-1.01,-1.03,-0.82,0.16,-0.82,-1.05
TOP2A,-1.69,-1.87,-1.52,-1.81,-1.84,-0.51,-0.79,-1.97
TOP2B,-0.93,-0.84,-0.95,-0.86,-0.66,-0.61,-0.44,-1.03
TOP3A,-0.05,-0.85,-1.08,-0.09,-0.57,-0.56,-0.92,0.02
TOP3B,0.1,0.48,-0.47,0.21,0.01,0.16,-0.02,0.18
TOPBP1,NA,-0.53,-0.26,-0.08,-0.26,-0.21,-0.21,-0.6
